Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Invesco qqq trust  series 1,QQQ,PUT,61545600.0,24485917000.0,2.37811,1.2695,1,27177900.0,79.079775,addition,No Data,Q4 2016,FINANCE,13F,12/31/2021,,338.43
Microsoft corp.,MSFT,"",71898611.0,24180941000.0,2.34849,2.1184,2,-918821.0,-1.261815,reduction,0.9590488,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,80.43,279.83
Apple inc,AAPL,"",130043662.0,23091853000.0,2.24271,1.9803,3,-5578026.0,-4.112931,reduction,0.7968635,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,31.4,165.29
Btc ishares core msci eafe etf,IEFA,"",243552018.0,18178722000.0,1.76554,1.7736,4,12073555.0,5.215844,addition,No Data,Q4 2012,FINANCE,13F,12/31/2021,62.465,68.05
Spdr s&p 500 etf trust,SPY,"",36434381.0,17304874000.0,1.68067,1.5129,5,2270302.0,6.64529,addition,No Data,Q1 2001,FINANCE,13F,12/31/2021,304.4039,437.79
Amazon.com inc.,AMZN,"",4242752.0,14146776000.0,1.37396,1.4008,6,110646.0,2.677714,addition,0.8338014,Q1 2001,CONSUMER DISCRETIONARY,13F,12/31/2021,1220.5415,3034.13
Vanguard value index fund-etf shares,VTV,"",86179189.0,12677820000.0,1.23129,1.2321,7,-2023064.0,-2.293665,reduction,No Data,Q3 2007,FINANCE,13F,12/31/2021,99.94,148.05
Spdr s&p 500 etf trust,SPY,PUT,25313900.0,12023090000.0,1.1677,1.6956,8,-12974700.0,-33.886588,reduction,No Data,Q4 2009,FINANCE,13F,12/31/2021,,437.79
Vanguard growth index fund-etf shares,VUG,"",34125815.0,10950974000.0,1.06357,1.1126,9,-3029524.0,-8.153671,reduction,No Data,Q3 2007,FINANCE,13F,12/31/2021,135.62,270.22
Ishares russell 1000 growth etf,IWF,"",35032833.0,10705683000.0,1.03975,0.9593,10,1109127.0,3.269475,addition,No Data,Q4 2008,FINANCE,13F,12/31/2021,119.8914,261.88
Alphabet inc. class a,GOOGL,"",3523015.0,10206314000.0,0.991252,0.9424,11,107110.0,3.135626,addition,1.1713907,Q3 2004,COMMUNICATIONS,13F,12/31/2021,913.4868,2534.6
Ishares core msci emerging markets etf,IEMG,"",149003731.0,8919364000.0,0.866262,0.9088,12,6403895.0,4.490815,addition,No Data,Q4 2012,FINANCE,13F,12/31/2021,55.2759,54.52
Ishares russell 1000 value etf,IWD,"",52540813.0,8823179000.0,0.85692,0.7765,13,4464103.0,9.285375,addition,No Data,Q4 2008,FINANCE,13F,12/31/2021,117.1364,165.23
Vanguard 500 index fund-etf shares,VOO,"",19751685.0,8622993000.0,0.837478,1.8815,14,-26477050.0,-57.274009,reduction,No Data,Q3 2010,FINANCE,13F,12/31/2021,324.27,402.52
Vanguard developed markets index fund-etf shares,VEA,"",168239876.0,8590328000.0,0.834305,0.8176,15,11324742.0,7.217113,addition,No Data,Q4 2008,FINANCE,13F,12/31/2021,40.959,47.01
Vanguard information technology etf,VGT,"",18629843.0,8535635000.0,0.828993,0.8152,16,-1056608.0,-5.367184,reduction,No Data,Q4 2009,INFORMATION TECHNOLOGY,13F,12/31/2021,155.17,384.18
Btc ishares mbs etf,MBB,"",77632869.0,8340099000.0,0.810003,0.8456,17,1857794.0,2.451722,addition,No Data,Q1 2009,FINANCE,13F,12/31/2021,107.879,98.96
Jpmorgan chase & co. (chemical bank),JPM,"",50798782.0,8043988000.0,0.781244,0.8767,18,-1100198.0,-2.119884,reduction,1.7203545,Q1 2001,FINANCE,13F,12/31/2021,77.62,126.12
Spdr bloomberg 1-3 month t-bill etf,BIL,"",87246402.0,7976938000.0,0.774732,0.7741,19,5222742.0,6.36736,addition,No Data,Q4 2009,FINANCE,13F,12/31/2021,91.9565,91.41
Ishares core s&p 500 etf,IVV,"",16019731.0,7641251000.0,0.742129,1.325,20,-13783270.0,-46.247927,reduction,No Data,Q4 2008,FINANCE,13F,12/31/2021,367.2,439.7
Invesco qqq trust  series 1,QQQ,"",18773854.0,7469178000.0,0.725417,0.6168,21,2077202.0,12.440829,addition,No Data,Q1 2001,FINANCE,13F,12/31/2021,238.9309,338.43
Ishares russell 2000 etf,IWM,"",32854456.0,7308475000.0,0.70981,0.8501,22,-4804578.0,-12.758102,reduction,No Data,Q1 2001,FINANCE,13F,12/31/2021,153.51,198.96
Home depot  inc. (the),HD,"",16821514.0,6981096000.0,0.678014,0.6214,23,-1524189.0,-8.308153,reduction,1.6278623,Q1 2001,CONSUMER DISCRETIONARY,13F,12/31/2021,114.57,304.52
Vanguard intermediate-term corporate bond etf,VCIT,"",74649145.0,6924455000.0,0.672513,0.7735,24,-4745008.0,-5.976521,reduction,No Data,Q4 2009,FINANCE,13F,12/31/2021,89.64,83.18
Nvidia corp.,NVDA,"",22302999.0,6559533000.0,0.637071,0.5385,25,-2887394.0,-11.462282,reduction,0.8885657,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,21.14,212.58
Vanguard small-cap index fund-etf shares,VB,"",26038589.0,5884982000.0,0.571558,0.5467,26,1812033.0,7.479532,addition,No Data,Q3 2007,FINANCE,13F,12/31/2021,137.6304,207.73
Alphabet inc. class c,GOOG,"",2026546.0,5863994000.0,0.56952,0.574,27,-60432.0,-2.89567,reduction,0.6420445,Q2 2014,COMMUNICATIONS,13F,12/31/2021,939.81,2545.06
