Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Apple inc,AAPL,"",1019810291.0,181087712000.0,4.56317,4.0655,1,-6413692.0,-0.62498,reduction,6.2490516,Q3 2007,INFORMATION TECHNOLOGY,13F,12/31/2021,35.68,165.29
Microsoft corp.,MSFT,"",519035634.0,174562063000.0,4.39873,4.0027,2,11918602.0,2.350267,addition,6.9233678,Q3 2007,INFORMATION TECHNOLOGY,13F,12/31/2021,77.6104,279.83
Amazon.com inc.,AMZN,"",28717802.0,95754914000.0,2.4129,2.5872,3,587832.0,2.0897,addition,5.6437295,Q4 2008,CONSUMER DISCRETIONARY,13F,12/31/2021,1140.3381,3034.13
Alphabet inc. class a,GOOGL,"",20467504.0,59295183000.0,1.49416,1.5255,4,86528.0,0.424553,addition,6.8053766,Q3 2007,COMMUNICATIONS,13F,12/31/2021,908.7812,2534.6
Tesla inc,TSLA,"",52844995.0,55845534000.0,1.40723,1.147,5,15507.0,0.029353,addition,5.2620576,Q3 2010,CONSUMER DISCRETIONARY,13F,12/31/2021,252.2062,985.0
Alphabet inc. class c,GOOG,"",19196177.0,55545866000.0,1.39968,1.4171,6,205225.0,1.080646,addition,6.0816781,Q2 2014,COMMUNICATIONS,13F,12/31/2021,877.3682,2545.06
Meta platforms  inc.,FB,"",158101319.0,53177378000.0,1.34,1.4813,7,2212638.0,1.419371,addition,6.8469398,Q2 2012,COMMUNICATIONS,13F,12/31/2021,151.1684,210.18
Nvidia corp.,NVDA,"",177839722.0,52304441000.0,1.318,1.0106,8,3591440.0,2.061105,addition,7.0852479,Q3 2007,INFORMATION TECHNOLOGY,13F,12/31/2021,184.8127,212.58
America movil s.a.b. de c.v. ads,AMX,"",2164336078.0,39217769733.36,0.988235,,9,-166314129.0,-7.135954,reduction,99.9765590,,UTILITIES AND TELECOMMUNICATIONS,13G,02/28/2022,,22.29
Unitedhealth group inc.,UNH,"",69259425.0,34777929000.0,0.876357,0.7626,10,-447120.0,-0.641432,reduction,7.3609829,Q4 2008,HEALTH CARE,13F,12/31/2021,174.78,534.82
Johnson & johnson co.,JNJ,"",200021352.0,34217654000.0,0.862239,0.8819,11,4982885.0,2.554822,addition,7.6074915,Q3 2007,HEALTH CARE,13F,12/31/2021,127.0155,179.9
Ishares core s&p 500 etf,IVV,"",70277629.0,33521726000.0,0.844702,0.7747,12,6052912.0,9.424583,addition,No Data,Q4 2009,FINANCE,13F,12/31/2021,275.8103,439.7
Jpmorgan chase & co. (chemical bank),JPM,"",192249551.0,30442719000.0,0.767116,0.8812,13,-41763.0,-0.021719,reduction,6.5107345,Q3 2007,FINANCE,13F,12/31/2021,89.04,126.12
Berkshire hathaway inc class b,BRK.B,"",101111126.0,30232227000.0,0.761811,0.8036,14,-4048317.0,-3.849694,reduction,7.8524758,Q3 2007,FINANCE,13F,12/31/2021,169.54,344.33
Home depot  inc. (the),HD,"",70040521.0,29067516000.0,0.732462,0.6466,15,-313498.0,-0.445601,reduction,6.7780061,Q3 2007,CONSUMER DISCRETIONARY,13F,12/31/2021,150.02,304.52
Visa inc,V,"",129031301.0,27962374000.0,0.704614,0.7895,16,2440030.0,1.927487,addition,7.7803583,Q2 2008,FINANCE,13F,12/31/2021,100.8433,212.79
Procter & gamble co. (oh) (1905),PG,"",156813285.0,25651517000.0,0.646384,0.6068,17,1785863.0,1.151966,addition,6.4800275,Q3 2007,CONSUMER STAPLES,13F,12/31/2021,91.0258,158.57
Pfizer  inc.,PFE,"",409985644.0,24209653000.0,0.610051,0.4947,18,-842661.0,-0.205113,reduction,7.2592425,Q3 2007,HEALTH CARE,13F,12/31/2021,32.71,53.12
Mastercard inc,MA,"",65712258.0,23611726000.0,0.594984,0.6392,19,45845.0,0.069815,addition,6.7763496,Q3 2007,FINANCE,13F,12/31/2021,124.1642,357.82
Cisco systems  inc.,CSCO,"",350404388.0,22205126000.0,0.559539,0.516,20,11804677.0,3.486322,addition,8.4350076,Q3 2007,INFORMATION TECHNOLOGY,13F,12/31/2021,36.265,51.17
Bank of america corp. (north carolina national bank),BAC,"",493077191.0,21937005000.0,0.552783,0.5973,21,-9466470.0,-1.883711,reduction,6.1139004,Q3 2007,FINANCE,13F,12/31/2021,23.49,37.57
Adobe systems  inc.,ADBE,"",37526571.0,21279818000.0,0.536223,0.5853,22,1212093.0,3.337768,addition,7.9446413,Q3 2007,INFORMATION TECHNOLOGY,13F,12/31/2021,190.6923,420.44
Thermo fisher scientific  inc.,TMO,"",30982611.0,20672838000.0,0.520928,0.4746,23,1309933.0,4.41461,addition,7.9200570,Q3 2007,HEALTH CARE,13F,12/31/2021,218.1649,568.9
Abbott laboratories,ABT,"",137155602.0,19303283000.0,0.486417,0.4442,24,2836966.0,2.112116,addition,7.7775436,Q3 2007,HEALTH CARE,13F,12/31/2021,54.6581,117.69
Accenture plc,ACN,"",46215372.0,19158583000.0,0.482771,0.407,25,772476.0,1.699883,addition,6.9765969,Q3 2007,INFORMATION TECHNOLOGY,13F,12/31/2021,139.6923,319.47
Pepsico inc. (loft  inc.),PEP,"",105501759.0,18326710000.0,0.461808,0.4213,26,5454097.0,5.451499,addition,7.6303862,Q3 2007,CONSUMER STAPLES,13F,12/31/2021,115.6359,171.9
Broadcom ltd. (avago technologies),AVGO,"",27389046.0,18224946000.0,0.459244,0.371,27,62580.0,0.229009,addition,6.7083784,Q3 2009,INFORMATION TECHNOLOGY,13F,12/31/2021,237.6097,573.85
