Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Microsoft corp.,MSFT,"",92868182.0,31233511000.0,6.91556,6.201,1,-1414452.0,-1.500225,reduction,1.2387600,Q4 2007,INFORMATION TECHNOLOGY,13F,12/31/2021,80.16,279.83
Netflix inc,NFLX,"",25966372.0,15643301000.0,3.46366,4.1507,2,-3184727.0,-10.924895,reduction,5.8774707,Q2 2012,COMMUNICATIONS,13F,12/31/2021,136.1,341.13
Amazon.com inc.,AMZN,"",4574546.0,15253179000.0,3.37728,3.0731,3,564699.0,14.082807,addition,0.8990068,Q3 2010,CONSUMER DISCRETIONARY,13F,12/31/2021,980.8302,3034.13
Broadcom ltd. (avago technologies),AVGO,"",22798116.0,15170092000.0,3.35888,2.9308,4,-3108348.0,-11.998349,reduction,5.5839254,Q4 2016,INFORMATION TECHNOLOGY,13F,12/31/2021,228.6,573.85
Abbott laboratories,ABT,"",84125029.0,11839766000.0,2.6215,2.3274,5,-327768.0,-0.388108,reduction,4.7703927,Q4 2007,HEALTH CARE,13F,12/31/2021,52.95,117.69
Meta platforms  inc.,FB,"",29984167.0,10085288000.0,2.23303,3.2003,6,-10435081.0,-25.817108,reduction,1.2985330,Q1 2017,COMMUNICATIONS,13F,12/31/2021,179.34,210.18
Alphabet inc. class a,GOOGL,"",3254931.0,9429675000.0,2.08787,2.3511,7,-514534.0,-13.650054,reduction,1.0822537,Q4 2007,COMMUNICATIONS,13F,12/31/2021,895.07,2534.6
Unitedhealth group inc.,UNH,"",17791353.0,8933774000.0,1.97807,1.6432,8,-234019.0,-1.298276,reduction,1.8908884,Q4 2012,HEALTH CARE,13F,12/31/2021,167.57,534.82
Alphabet inc. class c,GOOG,"",2934398.0,8491049000.0,1.88004,1.8909,9,-106584.0,-3.50492,reduction,0.9296676,Q2 2015,COMMUNICATIONS,13F,12/31/2021,866.65,2545.06
Comcast corp.  class a,CMCSA,"",156125921.0,7857828000.0,1.73984,1.8722,10,12642202.0,8.810897,addition,3.4512226,Q4 2007,COMMUNICATIONS,13F,12/31/2021,43.759,47.58
