Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Tesla inc,TSLA,"",36665256.0,38747586000.0,6.12018,4.9542,1,-762058.0,-2.036101,reduction,3.6509548,Q3 2010,CONSUMER DISCRETIONARY,13F,12/31/2021,59.41,985.0
Microsoft corp.,MSFT,"",107717797.0,36227980000.0,5.72221,5.3107,2,-2641990.0,-2.393979,reduction,1.4368376,Q4 2007,INFORMATION TECHNOLOGY,13F,12/31/2021,41.72,279.83
Broadcom ltd. (avago technologies),AVGO,"",38027878.0,25304116000.0,3.99679,3.1976,3,-602551.0,-1.559783,reduction,9.3141396,Q4 2016,INFORMATION TECHNOLOGY,13F,12/31/2021,204.78,573.85
Unitedhealth group inc.,UNH,"",33870309.0,17007716000.0,2.68637,2.2856,4,-398100.0,-1.161711,reduction,3.5997810,Q4 2007,HEALTH CARE,13F,12/31/2021,118.48,534.82
Home depot  inc. (the),HD,"",40473045.0,16796443000.0,2.653,2.287,5,-342684.0,-0.839588,reduction,3.9166834,Q4 2007,CONSUMER DISCRETIONARY,13F,12/31/2021,98.24,304.52
Meta platforms  inc.,FB,"",43827542.0,14741645000.0,2.32844,2.6814,6,-2459353.0,-5.313281,reduction,1.8980521,Q2 2012,COMMUNICATIONS,13F,12/31/2021,153.65,210.18
Pfizer  inc.,PFE,"",236858416.0,13986310000.0,2.20914,1.772,7,-4502442.0,-1.86544,reduction,4.1938363,Q4 2007,HEALTH CARE,13F,12/31/2021,36.56,53.12
Jpmorgan chase & co. (chemical bank),JPM,"",66179976.0,10479614000.0,1.65526,2.0761,8,-8122178.0,-10.931282,reduction,2.2412549,Q4 2007,FINANCE,13F,12/31/2021,76.6,126.12
Thermo fisher scientific  inc.,TMO,"",14849730.0,9908317000.0,1.56502,1.4518,9,-37056.0,-0.248919,reduction,3.7960231,Q3 2013,HEALTH CARE,13F,12/31/2021,184.13,568.9
Amazon.com inc.,AMZN,"",2933551.0,9781639000.0,1.54501,1.7549,10,-196171.0,-6.268001,reduction,0.5765124,Q4 2007,CONSUMER DISCRETIONARY,13F,12/31/2021,543.93,3034.13
Alphabet inc. class c,GOOG,"",3081304.0,8916156000.0,1.40831,1.3782,11,51967.0,1.715458,addition,0.9762099,Q2 2015,COMMUNICATIONS,13F,12/31/2021,1149.4991,2545.06
Netflix inc,NFLX,"",13268607.0,7993623000.0,1.26259,1.377,12,50911.0,0.385173,addition,3.0033402,Q2 2012,COMMUNICATIONS,13F,12/31/2021,237.7746,341.13
Philip morris international inc,PM,"",80333266.0,7631660000.0,1.20542,1.339,13,-2427306.0,-2.932926,reduction,5.1833672,Q2 2008,CONSUMER STAPLES,13F,12/31/2021,77.64,101.77
Cme group inc,CME,"",33276346.0,7602323000.0,1.20079,1.1091,14,-324776.0,-0.966563,reduction,9.2583596,Q1 2012,FINANCE,13F,12/31/2021,84.22,237.66
Blackrock inc. class a,BLK,"",7737458.0,7084086000.0,1.11893,1.1081,15,-3012.0,-0.038912,reduction,5.0890133,Q1 2012,FINANCE,13F,12/31/2021,446.23,688.17
Csx corp,CSX,"",184488460.0,6936719000.0,1.09566,0.8967,16,7841524.0,4.439094,addition,8.4682884,Q1 2017,TRANSPORTS,13F,12/31/2021,24.9898,35.06
Shopify inc,SHOP,"",4489765.0,6184252000.0,0.976803,1.0182,17,90070.0,2.047187,addition,3.9385909,Q3 2018,COMMUNICATIONS,13F,12/31/2021,520.9235,579.51
Alphabet inc. class a,GOOGL,"",2066842.0,5987909000.0,0.94579,0.942,18,2580.0,0.124984,addition,0.6872181,Q4 2007,COMMUNICATIONS,13F,12/31/2021,809.1495,2534.6
Canadian natural resources  ltd,CNQ,"",117579298.0,5987137854.16,0.945669,,19,18404141.0,18.557209,addition,10.0723744,,ENERGY,13G,01/31/2022,,65.78
Comcast corp.  class a,CMCSA,"",111532517.0,5613481000.0,0.88665,1.0986,20,-3540383.0,-3.076644,reduction,2.4654685,Q4 2008,COMMUNICATIONS,13F,12/31/2021,32.61,47.58
Asml holding nv (adr),ASML,"",6982721.0,5559406000.0,0.878108,0.9087,21,-161758.0,-2.264098,reduction,1.7178744,Q4 2015,INFORMATION TECHNOLOGY,13F,12/31/2021,97.34,597.87
Altria group  inc. (philip morris),MO,"",112908240.0,5350721000.0,0.845147,0.9797,22,-13177442.0,-10.45118,reduction,6.2131124,Q4 2007,CONSUMER STAPLES,13F,12/31/2021,49.84,54.98
Lilly (eli) & co.,LLY,"",19115896.0,5280206000.0,0.834009,0.6622,23,2325514.0,13.850275,addition,2.0072404,Q4 2017,HEALTH CARE,13F,12/31/2021,193.3392,301.86
Cvs health corp. (melville shoe),CVS,"",50102110.0,5168570000.0,0.816376,0.7326,24,-471878.0,-0.933045,reduction,3.8172733,Q3 2019,CONSUMER STAPLES,13F,12/31/2021,71.32,103.68
Lockheed martin corp.,LMT,"",13462533.0,4784686000.0,0.755741,0.7251,25,1152397.0,9.361367,addition,5.0509609,Q4 2007,INDUSTRIALS,13F,12/31/2021,136.457,467.66
Bank of america corp. (north carolina national bank),BAC,"",106355444.0,4731757000.0,0.747381,0.8467,26,-10499977.0,-8.985443,reduction,1.3187521,Q4 2007,FINANCE,13F,12/31/2021,25.66,37.57
General motors co,GM,"",79672881.0,4671163000.0,0.73781,0.7205,27,-405872.0,-0.506841,reduction,5.4832561,Q4 2010,CONSUMER DISCRETIONARY,13F,12/31/2021,35.64,40.13
Advanced micro devices inc,AMD,"",30542908.0,4395151000.0,0.694214,0.6302,28,-5335605.0,-14.87131,reduction,2.5467207,Q4 2015,INFORMATION TECHNOLOGY,13F,12/31/2021,39.8,93.06
Applied materials inc.,AMAT,"",27869799.0,4385603000.0,0.692706,0.577,29,1609461.0,6.128866,addition,3.1548526,Q3 2017,INFORMATION TECHNOLOGY,13F,12/31/2021,95.6803,113.36
Taiwan semiconductor manufacturing co ltd adr,TSM,"",36229363.0,4358774000.0,0.688469,0.6767,30,723057.0,2.036419,addition,0.6985891,Q4 2007,INFORMATION TECHNOLOGY,13F,12/31/2021,28.0978,98.36
Apple inc,AAPL,"",24273668.0,4310298000.0,0.680812,0.5979,31,-481851.0,-1.946439,reduction,0.1487408,Q4 2007,INFORMATION TECHNOLOGY,13F,12/31/2021,104.43,165.29
Centene corp,CNC,"",46851859.0,3860593000.0,0.609781,0.4588,32,3717875.0,8.619364,addition,8.0380624,Q4 2011,HEALTH CARE,13F,12/31/2021,53.9889,86.54
Dollar general corp.,DG,"",15508790.0,3657438000.0,0.577693,0.5702,33,-237880.0,-1.510669,reduction,6.7762925,Q4 2019,CONSUMER DISCRETIONARY,13F,12/31/2021,170.56,248.77
Booking holdings inc. (priceline),BKNG,"",1515889.0,3636966000.0,0.574459,0.6016,34,31161.0,2.098768,addition,3.6915742,Q1 2011,CONSUMER DISCRETIONARY,13F,12/31/2021,2091.3712,2227.29
Sea ltd adr,SE,"",16105696.0,3603021000.0,0.569097,0.9855,35,-2008608.0,-11.088519,reduction,4.0266348,Q4 2019,INFORMATION TECHNOLOGY,13F,12/31/2021,59.6,108.58
Carrier global corp.,CARR,"",65581967.0,3557121000.0,0.561847,0.534,36,5135409.0,8.495784,addition,7.6883306,Q4 2020,INDUSTRIALS,13F,12/31/2021,45.9908,41.28
Intuitive surgical inc,ISRG,"",9658541.0,3470421000.0,0.548153,0.6176,37,-1260196.0,-11.541591,reduction,2.6889420,Q4 2007,HEALTH CARE,13F,12/31/2021,95.04,279.7
Mongodb inc,MDB,"",6533592.0,3458557000.0,0.546279,0.5473,38,-266218.0,-3.91508,reduction,9.6698917,Q4 2017,INFORMATION TECHNOLOGY,13F,12/31/2021,108.88,416.5
Regeneron pharmaceuticals inc.,REGN,"",5323635.0,3362037000.0,0.531034,0.5496,39,3635.0,0.068327,addition,5.0356114,Q3 2010,HEALTH CARE,13F,12/31/2021,243.675,733.02
Te connectivity ltd,TEL,"",20649105.0,3331527000.0,0.526215,0.4135,40,2994368.0,16.960706,addition,6.3279987,Q4 2015,INFORMATION TECHNOLOGY,13F,12/31/2021,98.8233,120.88
Cigna holding co,CI,"",14507175.0,3331306000.0,0.52618,0.496,41,-10934.0,-0.075313,reduction,4.5566061,Q1 2018,FINANCE,13F,12/31/2021,187.15,259.21
Capital one financial corp,COF,"",22078839.0,3203438000.0,0.505983,0.6102,42,8515.0,0.038581,addition,5.3637506,Q4 2012,FINANCE,13F,12/31/2021,76.7664,132.59
L3harris technologies inc,LHX,"",14871240.0,3171143000.0,0.500882,0.4498,43,2906014.0,24.287163,addition,7.7029191,Q2 2020,INFORMATION TECHNOLOGY,13F,12/31/2021,204.7838,257.41
Gilead sciences inc.,GILD,"",42681624.0,3099157000.0,0.489512,0.4409,44,5705315.0,15.42965,addition,3.4039458,Q4 2007,HEALTH CARE,13F,12/31/2021,71.8476,61.82
Marsh & mclennan companies  inc.,MMC,"",17341095.0,3014211000.0,0.476095,0.4464,45,72889.0,0.422099,addition,3.4491409,Q4 2007,FINANCE,13F,12/31/2021,77.9148,169.76
Crown castle international corp,CCI,"",14375412.0,3000724000.0,0.473964,0.4467,46,-723224.0,-4.789996,reduction,3.3259897,Q1 2012,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,105.16,192.68
Digital realty trust  inc.,DLR,"",16741675.0,2961079000.0,0.467703,0.4139,47,-45869.0,-0.273232,reduction,5.8993710,Q2 2010,REAL ESTATE,13F,12/31/2021,100.88,145.02
Toronto-dominion bank (the),TD,"",38367374.0,2941629000.0,0.46463,0.435,48,-133376.0,-0.346424,reduction,2.1094984,Q3 2009,FINANCE,13F,12/31/2021,55.9,74.5
S&p global inc. (mcgraw-hill inc.),SPGI,"",5955180.0,2810428000.0,0.443907,0.4032,49,395484.0,7.113411,addition,1.7160573,Q3 2018,COMMUNICATIONS,13F,12/31/2021,315.1803,387.59
Motorola solutions inc,MSI,"",10153849.0,2758801000.0,0.435753,0.392,50,268934.0,2.720651,addition,6.0364449,Q1 2020,INFORMATION TECHNOLOGY,13F,12/31/2021,172.8591,233.19
Caterpillar inc.,CAT,"",13262687.0,2741910000.0,0.433085,0.3896,51,1373656.0,11.553978,addition,2.4748988,Q4 2007,INDUSTRIALS,13F,12/31/2021,206.5159,227.81
Costco co.,COST,"",4824424.0,2738805000.0,0.432594,0.3759,52,-75874.0,-1.548355,reduction,1.0884837,Q3 2009,CONSUMER STAPLES,13F,12/31/2021,195.73,590.39
Archer-daniels-midland co.,ADM,"",40362744.0,2728118000.0,0.430906,0.4064,53,683547.0,1.722684,addition,7.1758862,Q2 2020,CONSUMER STAPLES,13F,12/31/2021,51.3104,96.91
Linde plc (praxair inc.),LIN,"",7657766.0,2654399000.0,0.419262,0.3131,54,1416567.0,22.697033,addition,1.4940387,Q1 2020,MATERIALS,13F,12/31/2021,217.4456,318.52
Paypal holdings inc,PYPL,"",13986752.0,2637720000.0,0.416628,1.2264,55,-13625966.0,-49.346703,reduction,1.2005745,Q3 2015,COMMUNICATIONS,13F,12/31/2021,149.8,102.31
Pioneer natural resources co.,PXD,"",14256214.0,2592908000.0,0.40955,0.3673,56,1334183.0,10.324871,addition,5.8695563,Q4 2007,ENERGY,13F,12/31/2021,149.3125,254.75
Baker hughes company,BKR,"",106470994.0,2561675000.0,0.404617,0.4272,57,5271646.0,5.20917,addition,11.1681966,Q4 2007,ENERGY,13F,12/31/2021,31.4358,37.29
Micron technology  inc.,MU,"",27419458.0,2554123000.0,0.403424,0.1801,58,12554989.0,84.463084,addition,2.4486532,Q3 2020,INFORMATION TECHNOLOGY,13F,12/31/2021,80.3832,70.13
Vertex pharmaceuticals  inc.,VRTX,"",11520855.0,2530003000.0,0.399614,0.3419,59,478553.0,4.333816,addition,4.5254948,Q3 2008,HEALTH CARE,13F,12/31/2021,156.3128,287.97
Nike inc.,NKE,"",14970762.0,2495199000.0,0.394117,0.3869,60,-634714.0,-4.067252,reduction,0.9467405,Q4 2007,CONSUMER DISCRETIONARY,13F,12/31/2021,57.77,133.46
Mondelez international inc. (kraft foods),MDLZ,"",36651190.0,2430340000.0,0.383872,0.3631,61,91179.0,0.249395,addition,2.6273779,Q2 2017,CONSUMER STAPLES,13F,12/31/2021,54.4097,63.72
Pnc financial services group  inc. (the) (provident national trust co.),PNC,"",12083113.0,2422919000.0,0.3827,0.4714,62,-2033280.0,-14.403679,reduction,2.8875551,Q1 2014,FINANCE,13F,12/31/2021,119.92,175.0
Darden restaurants inc,DRI,"",16040321.0,2416298000.0,0.381654,0.414,63,26930.0,0.168172,addition,12.5586120,Q4 2017,CONSUMER DISCRETIONARY,13F,12/31/2021,120.4907,131.45
