Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Spdr s&p 500 etf trust,SPY,PUT,70682700.0,33571455000.0,6.85793,6.9109,1,-6836600.0,-8.819223,reduction,No Data,Q1 2014,FINANCE,13F,12/31/2021,,437.79
Tesla inc,TSLA,CALL,23633300.0,24975199000.0,5.1019,3.5861,2,1373400.0,6.169839,addition,N/A,Q3 2010,CONSUMER DISCRETIONARY,13F,12/31/2021,,985.0
Tesla inc,TSLA,PUT,21010900.0,22203899000.0,4.53578,3.9649,3,-3600600.0,-14.629746,reduction,N/A,Q3 2010,CONSUMER DISCRETIONARY,13F,12/31/2021,,985.0
Amazon.com inc.,AMZN,CALL,4179100.0,13934540000.0,2.84653,2.6705,4,265900.0,6.79495,addition,N/A,Q1 2008,CONSUMER DISCRETIONARY,13F,12/31/2021,,3034.13
Spdr s&p 500 etf trust,SPY,CALL,22618100.0,10742693000.0,2.1945,3.8105,5,-20124800.0,-47.083375,reduction,No Data,Q1 2014,FINANCE,13F,12/31/2021,,437.79
Amazon.com inc.,AMZN,PUT,3022000.0,10076375000.0,2.05839,2.5723,6,-747200.0,-19.823835,reduction,N/A,Q3 2007,CONSUMER DISCRETIONARY,13F,12/31/2021,,3034.13
Invesco qqq trust  series 1,QQQ,PUT,20608700.0,8199171000.0,1.67491,2.1442,7,-8226100.0,-28.528375,reduction,No Data,Q1 2014,FINANCE,13F,12/31/2021,,338.43
Invesco qqq trust  series 1,QQQ,CALL,19386500.0,7712919000.0,1.57558,1.3936,8,646400.0,3.449288,addition,No Data,Q1 2014,FINANCE,13F,12/31/2021,,338.43
Apple inc,AAPL,CALL,34012200.0,6039546000.0,1.23375,1.0475,9,-1621200.0,-4.549664,reduction,N/A,Q3 2007,INFORMATION TECHNOLOGY,13F,12/31/2021,,165.29
Apple inc,AAPL,PUT,31901100.0,5664678000.0,1.15717,0.885,10,1794500.0,5.960487,addition,N/A,Q3 2007,INFORMATION TECHNOLOGY,13F,12/31/2021,,165.29
Alphabet inc. class a,GOOGL,PUT,1901300.0,5508143000.0,1.1252,1.0895,11,-60400.0,-3.078962,reduction,N/A,Q3 2007,COMMUNICATIONS,13F,12/31/2021,,2534.6
