Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Spdr s&p 500 etf trust,SPY,"",37617994.0,17867043000.0,3.54899,3.5322,1,-1188084.0,-3.061593,reduction,No Data,Q1 2001,FINANCE,13F,12/31/2021,250.84,437.79
Apple inc,AAPL,"",68264448.0,12121719000.0,2.40777,2.0951,2,-1543722.0,-2.211377,reduction,0.4183014,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,25.26,165.29
Microsoft corp.,MSFT,"",32342001.0,10877263000.0,2.16058,2.1281,3,-3246451.0,-9.122203,reduction,0.4314069,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,111.62,279.83
Spdr s&p 500 etf trust,SPY,PUT,21939100.0,10420195000.0,2.0698,2.4484,4,-4960100.0,-18.439582,reduction,No Data,Q1 2005,FINANCE,13F,12/31/2021,,437.79
Tesla inc,TSLA,PUT,7230700.0,7641259000.0,1.51781,0.7924,5,2412900.0,50.083025,addition,N/A,Q3 2010,CONSUMER DISCRETIONARY,13F,12/31/2021,,985.0
Ishares russell 2000 etf,IWM,"",34153340.0,7597410000.0,1.5091,1.6921,6,-2315859.0,-6.350178,reduction,No Data,Q3 2002,FINANCE,13F,12/31/2021,150.64,198.96
Invesco qqq trust  series 1,QQQ,PUT,17098300.0,6802558000.0,1.35121,1.5246,7,-2982600.0,-14.85292,reduction,No Data,Q2 2003,FINANCE,13F,12/31/2021,,338.43
Amazon.com inc.,AMZN,"",1923793.0,6414580000.0,1.27415,1.3534,8,-18573.0,-0.956205,reduction,0.3780710,Q1 2001,CONSUMER DISCRETIONARY,13F,12/31/2021,1200.06,3034.13
Invesco qqq trust  series 1,QQQ,"",15086247.0,6002064000.0,1.19221,0.8044,9,4491981.0,42.400115,addition,No Data,Q1 2001,FINANCE,13F,12/31/2021,274.065,338.43
Alphabet inc. class a,GOOGL,"",1964871.0,5692312000.0,1.13068,1.1186,10,-7650.0,-0.387829,reduction,0.6533130,Q3 2004,COMMUNICATIONS,13F,12/31/2021,989.24,2534.6
Alibaba group holding ltd adr,BABA,"",39690350.0,4714816000.0,0.936518,1.5066,11,-8287508.0,-17.27361,reduction,1.4640950,Q3 2014,COMMUNICATIONS,13F,12/31/2021,187.99,95.49
Spdr s&p 500 etf trust,SPY,CALL,8852800.0,4204726000.0,0.835198,1.4743,12,-7344600.0,-45.344315,reduction,No Data,Q1 2005,FINANCE,13F,12/31/2021,,437.79
Tesla inc,TSLA,"",3855788.0,4074719000.0,0.809374,0.7219,13,-533280.0,-12.150188,reduction,0.3839413,Q3 2010,CONSUMER DISCRETIONARY,13F,12/31/2021,480.99,985.0
Meta platforms  inc.,FB,"",11006499.0,3702035000.0,0.735347,0.9408,14,-2062310.0,-15.780397,reduction,0.4766617,Q2 2012,COMMUNICATIONS,13F,12/31/2021,151.11,210.18
Invesco qqq trust  series 1,QQQ,CALL,9110200.0,3624493000.0,0.719944,0.6942,15,-33100.0,-0.362014,reduction,No Data,Q2 2003,FINANCE,13F,12/31/2021,,338.43
