Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Apple inc,AAPL,"",132461564.0,23521201000.0,2.92845,2.4447,1,4182414.0,3.2604,addition,0.8116795,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,45.225,165.29
Microsoft corp.,MSFT,"",65337834.0,21974419000.0,2.73587,2.5675,2,-2280126.0,-3.372072,reduction,0.8715353,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,80.35,279.83
Spdr s&p 500 etf trust,SPY,"",35403220.0,16815113000.0,2.09353,1.469,3,9986597.0,39.291597,addition,No Data,Q1 2001,FINANCE,13F,12/31/2021,342.7123,437.79
Amazon.com inc.,AMZN,"",4247287.0,14161900000.0,1.76319,2.1435,4,-597525.0,-12.333296,reduction,0.8346927,Q1 2001,CONSUMER DISCRETIONARY,13F,12/31/2021,1163.13,3034.13
Alphabet inc. class a,GOOGL,"",3585547.0,10387474000.0,1.29327,1.1946,5,267857.0,8.073599,addition,1.1921824,Q3 2004,COMMUNICATIONS,13F,12/31/2021,1121.4075,2534.6
Visa inc,V,"",43555010.0,9438807000.0,1.17516,1.2707,6,1199818.0,2.832753,addition,2.6262898,Q2 2008,FINANCE,13F,12/31/2021,90.6898,212.79
Shopify inc,SHOP,"",5884426.0,8105149000.0,1.00911,1.102,7,-150308.0,-2.490715,reduction,5.1620400,Q2 2015,COMMUNICATIONS,13F,12/31/2021,484.11,579.51
Meta platforms  inc.,FB,"",22438179.0,7547084000.0,0.939632,1.0434,8,-387109.0,-1.695965,reduction,0.9717367,Q2 2012,COMMUNICATIONS,13F,12/31/2021,159.18,210.18
Invesco qqq trust  series 1,QQQ,"",17809459.0,7085494000.0,0.882163,0.7663,9,1915015.0,12.04833,addition,No Data,Q1 2001,FINANCE,13F,12/31/2021,253.0732,338.43
Mastercard inc,MA,"",18907310.0,6793775000.0,0.845843,0.9202,10,-743554.0,-3.783823,reduction,1.9497510,Q2 2006,FINANCE,13F,12/31/2021,159.53,357.82
Jpmorgan chase & co. (chemical bank),JPM,"",39683681.0,6283910000.0,0.782363,0.8422,11,1481841.0,3.878978,addition,1.3439298,Q1 2001,FINANCE,13F,12/31/2021,71.9129,126.12
Ishares russell 1000 growth etf,IWF,"",19887151.0,6077315000.0,0.756642,0.6915,12,1151543.0,6.14628,addition,No Data,Q4 2003,FINANCE,13F,12/31/2021,138.5093,261.88
Procter & gamble co. (oh) (1905),PG,"",36705781.0,6004333000.0,0.747555,0.6558,13,1873861.0,5.379724,addition,1.5168005,Q1 2001,CONSUMER STAPLES,13F,12/31/2021,107.2788,158.57
Ishares russell 1000 value etf,IWD,"",33732524.0,5664704000.0,0.70527,0.6524,14,2783693.0,8.994501,addition,No Data,Q4 2003,FINANCE,13F,12/31/2021,108.8078,165.23
Walt disney co. (the),DIS,"",35709556.0,5531054000.0,0.688631,0.8042,15,414859.0,1.175415,addition,1.9613809,Q1 2001,COMMUNICATIONS,13F,12/31/2021,115.6611,130.47
Thermo fisher scientific  inc.,TMO,"",8282357.0,5526320000.0,0.688041,0.6241,16,172299.0,2.12451,addition,2.1172115,Q1 2001,HEALTH CARE,13F,12/31/2021,235.0127,568.9
Snowflake  inc.,SNOW,"",16239031.0,5500971000.0,0.684885,0.6861,17,-604100.0,-3.586625,reduction,5.3016752,Q3 2020,INFORMATION TECHNOLOGY,13F,12/31/2021,256.84,198.63
Home depot  inc. (the),HD,"",12846997.0,5331632000.0,0.663802,0.5278,18,908094.0,7.606176,addition,1.2432378,Q1 2001,CONSUMER DISCRETIONARY,13F,12/31/2021,181.1758,304.52
Btc ishares core msci eafe etf,IEFA,"",67691575.0,5052500000.0,0.629049,0.6463,19,3063876.0,4.740809,addition,No Data,Q4 2012,FINANCE,13F,12/31/2021,56.6432,68.05
Ishares core s&p 500 etf,IVV,"",10295418.0,4910812000.0,0.611409,0.5834,20,240421.0,2.39106,addition,No Data,Q1 2001,FINANCE,13F,12/31/2021,263.3874,439.7
Uber technologies inc,UBER,"",117007410.0,4906120000.0,0.610825,0.6316,21,12327699.0,11.776589,addition,6.2876581,Q2 2019,CONSUMER DISCRETIONARY,13F,12/31/2021,38.0741,32.68
Alphabet inc. class c,GOOG,"",1597721.0,4623152000.0,0.575595,0.5712,22,6601.0,0.414865,addition,0.5061854,Q2 2014,COMMUNICATIONS,13F,12/31/2021,902.4904,2545.06
Unitedhealth group inc.,UNH,"",9029133.0,4533889000.0,0.564481,0.465,23,193530.0,2.190343,addition,0.9596281,Q1 2001,HEALTH CARE,13F,12/31/2021,222.0255,534.82
Philip morris international inc,PM,"",46747991.0,4441060000.0,0.552924,0.581,24,1235877.0,2.71549,addition,3.0163345,Q2 2008,CONSUMER STAPLES,13F,12/31/2021,80.9807,101.77
Johnson & johnson co.,JNJ,"",25753835.0,4405709000.0,0.548522,0.5415,25,857814.0,3.445587,addition,0.9795058,Q1 2001,HEALTH CARE,13F,12/31/2021,109.1727,179.9
Nvidia corp.,NVDA,"",14839587.0,4364472000.0,0.543388,0.5161,26,-3658563.0,-19.777994,reduction,0.5912186,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,94.17,212.58
Square inc,SQ,"",26652816.0,4304696000.0,0.535946,0.8712,27,-317286.0,-1.176436,reduction,5.1417432,Q4 2015,FINANCE,13F,12/31/2021,87.79,121.31
Accenture plc,ACN,"",10212901.0,4233759000.0,0.527114,0.4349,28,119825.0,1.1872,addition,1.5417228,Q3 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,115.9154,319.47
Servicenow inc,NOW,"",6468199.0,4198575000.0,0.522734,0.5964,29,-647677.0,-9.101859,reduction,3.2340995,Q3 2012,INFORMATION TECHNOLOGY,13F,12/31/2021,178.37,507.33
Roblox corp. class a,RBLX,"",40556647.0,4183823000.0,0.520897,0.3927,30,1966186.0,5.095005,addition,7.5605851,Q1 2021,INFORMATION TECHNOLOGY,13F,12/31/2021,80.4092,42.36
Abbott laboratories,ABT,"",29322496.0,4126847000.0,0.513803,0.4522,31,902174.0,3.174398,addition,1.6627610,Q1 2001,HEALTH CARE,13F,12/31/2021,67.592,117.69
Vanguard total bond market index fund-etf shares,BND,"",48676366.0,4125322000.0,0.513613,0.5159,32,3852933.0,8.595801,addition,No Data,Q2 2007,FINANCE,13F,12/31/2021,85.0355,77.06
Danaher corp.,DHR,"",12466903.0,4101736000.0,0.510677,0.5889,33,-1895461.0,-13.197417,reduction,1.7427634,Q4 2019,HEALTH CARE,13F,12/31/2021,186.02,276.98
Adobe systems  inc.,ADBE,"",7127817.0,4041899000.0,0.503227,0.5375,34,196114.0,2.829233,addition,1.5090094,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,303.8177,420.44
Ishares russell 2000 etf,IWM,"",18029957.0,4010764000.0,0.499351,0.4849,35,1570851.0,9.543963,addition,No Data,Q1 2001,FINANCE,13F,12/31/2021,168.1978,198.96
Tesla inc,TSLA,"",3708366.0,3918928000.0,0.487917,0.3919,36,-43668.0,-1.163849,reduction,0.3692618,Q3 2010,CONSUMER DISCRETIONARY,13F,12/31/2021,491.24,985.0
Vanguard value index fund-etf shares,VTV,"",26195925.0,3853682000.0,0.479793,0.4684,37,505935.0,1.969386,addition,No Data,Q3 2006,FINANCE,13F,12/31/2021,96.1928,148.05
Salesforce.com inc.,CRM,"",15100387.0,3837460000.0,0.477774,0.5553,38,-100885.0,-0.663662,reduction,1.5252916,Q3 2004,INFORMATION TECHNOLOGY,13F,12/31/2021,135.92,189.41
Cloudflare inc,NET,"",28530099.0,3751707000.0,0.467097,0.4235,39,619334.0,2.218979,addition,10.2448959,Q3 2019,INFORMATION TECHNOLOGY,13F,12/31/2021,91.6737,113.98
Berkshire hathaway inc class b,BRK.B,"",12126225.0,3625740000.0,0.451414,0.4425,40,87719.0,0.728654,addition,0.9417449,Q1 2001,FINANCE,13F,12/31/2021,161.9586,344.33
Bank of america corp. (north carolina national bank),BAC,"",80159761.0,3566307000.0,0.444015,0.3314,41,22196702.0,38.294566,addition,0.9939393,Q1 2001,FINANCE,13F,12/31/2021,28.6542,37.57
Vanguard growth index fund-etf shares,VUG,"",10584219.0,3396476000.0,0.42287,0.4113,42,59658.0,0.566845,addition,No Data,Q2 2006,FINANCE,13F,12/31/2021,112.5908,270.22
Vanguard 500 index fund-etf shares,VOO,"",7721674.0,3371052000.0,0.419705,0.3509,43,1116569.0,16.904637,addition,No Data,Q4 2010,FINANCE,13F,12/31/2021,280.2631,402.52
Costco co.,COST,"",5519321.0,3133321000.0,0.390107,0.3674,44,-552136.0,-9.093962,reduction,1.2452659,Q1 2001,CONSUMER STAPLES,13F,12/31/2021,264.72,590.39
Coca cola co.,KO,"",52415748.0,3103537000.0,0.386398,0.3586,45,1667903.0,3.286648,addition,1.2091306,Q1 2001,CONSUMER STAPLES,13F,12/31/2021,44.8809,65.02
Vanguard short-term bond index fund-etf shares,BSV,"",38238631.0,3090829000.0,0.384816,0.4139,46,735801.0,1.961988,addition,No Data,Q2 2007,FINANCE,13F,12/31/2021,81.7323,77.43
Unity software inc.,U,"",21369805.0,3055667000.0,0.380439,0.2459,47,6910815.0,47.795973,addition,7.2662851,Q3 2020,INFORMATION TECHNOLOGY,13F,12/31/2021,124.2074,89.13
Chevron corp. (standard oil of california),CVX,"",25901170.0,3039502000.0,0.378426,0.332,48,1603400.0,6.598959,addition,1.3299338,Q1 2001,ENERGY,13F,12/31/2021,100.7832,171.59
Twitter inc,TWTR,"",70157074.0,3032187000.0,0.377515,0.5973,49,-3280683.0,-4.467297,reduction,8.7626114,Q4 2013,COMMUNICATIONS,13F,12/31/2021,41.6,45.08
Spotify technology sa,SPOT,"",12908940.0,3021078000.0,0.376132,0.4057,50,-458621.0,-3.43085,reduction,7.2017640,Q2 2018,COMMUNICATIONS,13F,12/31/2021,162.37,136.27
Doordash  inc.,DASH,"",20261310.0,3016909000.0,0.375613,0.372,51,6853101.0,51.111233,addition,6.3783007,Q4 2020,CONSUMER DISCRETIONARY,13F,12/31/2021,148.0529,109.31
Datadog inc,DDOG,"",16708536.0,2975958000.0,0.370515,0.3007,52,913113.0,5.780871,addition,6.3220750,Q3 2019,INFORMATION TECHNOLOGY,13F,12/31/2021,98.9653,136.04
Broadcom ltd. (avago technologies),AVGO,"",4391882.0,2922402000.0,0.363847,0.2191,53,1036956.0,30.908461,addition,1.0757004,Q3 2009,INFORMATION TECHNOLOGY,13F,12/31/2021,391.4017,573.85
The trade desk inc class a,TTD,"",31488183.0,2885575000.0,0.359262,0.2402,54,6114935.0,24.09993,addition,7.1466982,Q3 2016,COMMUNICATIONS,13F,12/31/2021,76.4265,63.58
Automatic data processing inc,ADP,"",11596172.0,2859385000.0,0.356001,0.3259,55,-506313.0,-4.183546,reduction,2.7606958,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,117.48,229.2
Ishares core msci emerging markets etf,IEMG,"",47418650.0,2838480000.0,0.353398,0.3727,56,2613954.0,5.834107,addition,No Data,Q4 2012,FINANCE,13F,12/31/2021,47.1042,54.52
Pepsico inc. (loft  inc.),PEP,"",16122623.0,2800660000.0,0.348689,0.2781,57,2395766.0,17.453129,addition,1.1660643,Q1 2001,CONSUMER STAPLES,13F,12/31/2021,110.5955,171.9
Pfizer  inc.,PFE,"",47053846.0,2778529000.0,0.345934,0.2703,58,399821.0,0.856991,addition,0.8331396,Q1 2001,HEALTH CARE,13F,12/31/2021,30.8913,53.12
Veeva systems inc,VEEV,"",10831471.0,2767225000.0,0.344527,0.4216,59,-30311.0,-0.279061,reduction,7.7916029,Q4 2013,INFORMATION TECHNOLOGY,13F,12/31/2021,112.8,191.46
Blackstone group inc,BX,"",20880345.0,2701707000.0,0.33637,0.3037,60,1495268.0,7.7135,addition,3.0399187,Q3 2007,FINANCE,13F,12/31/2021,44.8788,112.98
Paypal holdings inc,PYPL,"",14165481.0,2671327000.0,0.332587,0.3977,61,2818353.0,24.837589,addition,1.2159160,Q3 2015,COMMUNICATIONS,13F,12/31/2021,141.3106,102.31
Abbvie inc,ABBV,"",19370988.0,2622831000.0,0.326549,0.2758,62,384646.0,2.025909,addition,1.0967080,Q4 2012,HEALTH CARE,13F,12/31/2021,,162.31
Nike inc.,NKE,"",15724952.0,2620878000.0,0.326306,0.3102,63,-133906.0,-0.844361,reduction,0.9944349,Q1 2001,CONSUMER DISCRETIONARY,13F,12/31/2021,79.24,133.46
Nextera energy inc.,NEE,"",28063280.0,2619988000.0,0.326195,0.2868,64,943834.0,3.480285,addition,1.4297976,Q1 2001,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,66.6399,82.81
Verizon communications (bell atlantic corp.),VZ,"",50314683.0,2614350000.0,0.325493,0.3115,65,7488441.0,17.485636,addition,1.1985897,Q1 2001,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,50.2492,53.83
Honeywell international inc. (allied chemical and dye - allied signal),HON,"",12511635.0,2608802000.0,0.324803,0.357,66,25441.0,0.203753,addition,1.8252325,Q1 2001,INDUSTRIALS,13F,12/31/2021,101.2885,195.19
Cisco systems  inc.,CSCO,"",40266563.0,2551692000.0,0.317692,0.2818,67,1820884.0,4.736251,addition,0.9693051,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,35.9583,51.17
Cvs health corp. (melville shoe),CVS,"",24281050.0,2504831000.0,0.311858,0.2612,68,1431615.0,6.265428,addition,1.8499701,Q1 2001,CONSUMER STAPLES,13F,12/31/2021,67.9463,103.68
Pimco enhanced short maturity active exchange-traded fund,MINT,"",24635465.0,2501978000.0,0.311503,0.3422,69,-294438.0,-1.181064,reduction,No Data,Q4 2009,FINANCE,13F,12/31/2021,100.91,99.96
Ishares s&p 500 growth etf,IVW,"",29762297.0,2490212000.0,0.310038,0.2903,70,600798.0,2.060244,addition,No Data,Q2 2001,FINANCE,13F,12/31/2021,23.8132,71.76
Snap inc class a,SNAP,"",52170035.0,2453558000.0,0.305474,0.5595,71,-4061262.0,-7.222423,reduction,3.8082530,Q1 2017,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,37.06,33.19
Baxter international inc.,BAX,"",28377977.0,2435967000.0,0.303284,0.302,72,502422.0,1.802375,addition,5.6395362,Q1 2001,HEALTH CARE,13F,12/31/2021,76.0269,76.44
Mcdonalds corp.,MCD,"",9042047.0,2423901000.0,0.301782,0.2832,73,322203.0,3.695055,addition,1.2160076,Q1 2001,CONSUMER DISCRETIONARY,13F,12/31/2021,143.6089,250.51
Qualcomm inc.,QCOM,"",13045774.0,2385681000.0,0.297024,0.2239,74,155213.0,1.204083,addition,1.1595403,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,109.3157,136.91
