Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Microsoft corp.,MSFT,"",204196901.0,68675501000.0,6.20218,5.2454,1,6617448.0,3.349259,addition,2.7237634,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,86.0521,279.83
Amazon.com inc.,AMZN,"",16139535.0,53814698000.0,4.86008,5.0678,2,-242714.0,-1.481567,reduction,3.1718016,Q1 2001,CONSUMER DISCRETIONARY,13F,12/31/2021,496.65,3034.13
Apple inc,AAPL,"",223148792.0,39624531000.0,3.57854,2.5116,3,34658826.0,18.387624,addition,1.3673801,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,69.0789,165.29
Alphabet inc. class c,GOOG,"",13325257.0,38557831000.0,3.48221,3.4556,4,-442666.0,-3.215198,reduction,4.2216699,Q2 2014,COMMUNICATIONS,13F,12/31/2021,898.98,2545.06
Meta platforms  inc.,FB,"",86987201.0,29258146000.0,2.64234,3.0975,5,-9929296.0,-10.245207,reduction,3.7671800,Q2 2012,COMMUNICATIONS,13F,12/31/2021,116.79,210.18
Alphabet inc. class a,GOOGL,"",6964049.0,20175129000.0,1.82204,1.8451,6,-364634.0,-4.975437,reduction,2.3155230,Q3 2004,COMMUNICATIONS,13F,12/31/2021,541.33,2534.6
Unitedhealth group inc.,UNH,"",34428521.0,17287937000.0,1.5613,1.2973,7,-827374.0,-2.346768,reduction,3.6591085,Q1 2001,HEALTH CARE,13F,12/31/2021,164.77,534.82
Rivian automotive inc,RIVN,"",162080423.0,16115060000.0,1.45537,,8,162080423.0,,new,18.1604270,Q4 2021,CONSUMER DISCRETIONARY,13F,12/31/2021,103.69,40.59
Nvidia corp.,NVDA,"",45923235.0,13506482000.0,1.21979,0.518,9,19368782.0,72.939864,addition,1.8296110,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,160.977,212.58
Intuit  inc.,INTU,"",17494753.0,11252975000.0,1.01627,0.9544,10,-1290352.0,-6.869017,reduction,6.1859906,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,156.24,465.11
Visa inc,V,"",51387668.0,11136222000.0,1.00573,1.494,11,-19834811.0,-27.849088,reduction,3.0985851,Q2 2008,FINANCE,13F,12/31/2021,53.77,212.79
General electric co,GE,"",115488862.0,10910233000.0,0.985318,1.0557,12,6677908.0,6.137165,addition,10.5054638,Q1 2001,INDUSTRIALS,13F,12/31/2021,766.5343,90.83
Netflix inc,NFLX,"",16868438.0,10162221000.0,0.917764,1.0269,13,-997782.0,-5.58474,reduction,3.8181595,Q4 2006,COMMUNICATIONS,13F,12/31/2021,202.49,341.13
Salesforce.com inc.,CRM,"",36747169.0,9338559000.0,0.843378,0.8932,14,1775927.0,5.07825,addition,3.7118353,Q4 2004,INFORMATION TECHNOLOGY,13F,12/31/2021,102.4335,189.41
Servicenow inc,NOW,"",14141402.0,9179325000.0,0.828997,0.8645,15,-611637.0,-4.145837,reduction,7.0707010,Q3 2012,INFORMATION TECHNOLOGY,13F,12/31/2021,136.61,507.33
Asml holding nv (adr),ASML,"",11460339.0,9158183000.0,0.827088,0.7901,16,220445.0,1.961273,addition,2.8194486,Q4 2006,INFORMATION TECHNOLOGY,13F,12/31/2021,280.709,597.87
Danaher corp.,DHR,"",27608122.0,9083349000.0,0.820329,0.8164,17,-867265.0,-3.045665,reduction,3.8593726,Q2 2020,HEALTH CARE,13F,12/31/2021,178.01,276.98
Intuitive surgical inc,ISRG,"",24756021.0,8894839000.0,0.803305,0.809,18,-1167714.0,-4.50442,reduction,6.8920871,Q4 2005,HEALTH CARE,13F,12/31/2021,27.03,279.7
Thermo fisher scientific  inc.,TMO,"",13070544.0,8721190000.0,0.787622,0.7089,19,-106205.0,-0.806003,reduction,3.3412114,Q1 2001,HEALTH CARE,13F,12/31/2021,195.9,568.9
Mastercard inc,MA,"",24079780.0,8652347000.0,0.781405,0.7155,20,2225886.0,10.185306,addition,2.4831441,Q2 2006,FINANCE,13F,12/31/2021,73.3291,357.82
Tesla inc,TSLA,"",8149225.0,8611938000.0,0.777756,0.2706,21,4443391.0,119.902591,addition,0.8114617,Q3 2010,CONSUMER DISCRETIONARY,13F,12/31/2021,744.3417,985.0
Charles schwab corp,SCHW,"",83392449.0,7013304000.0,0.633381,0.5851,22,-1903465.0,-2.231602,reduction,4.5955855,Q1 2001,FINANCE,13F,12/31/2021,50.37,82.75
Lilly (eli) & co.,LLY,"",25184458.0,6956451000.0,0.628246,0.6583,23,-5071623.0,-16.762326,reduction,2.6444620,Q1 2001,HEALTH CARE,13F,12/31/2021,175.96,301.86
Sea ltd adr,SE,"",28071659.0,6279911000.0,0.567147,1.0123,24,-5656439.0,-16.770703,reduction,7.0182822,Q4 2017,INFORMATION TECHNOLOGY,13F,12/31/2021,123.57,108.58
Atlassian corp plc,TEAM,"",18273097.0,5926696280.98,0.535248,,25,4333312.0,31.085931,addition,13.3081304,,INFORMATION TECHNOLOGY,13G,01/31/2022,,265.35
Ross stores inc. (de),ROST,"",51733480.0,5912102000.0,0.53393,0.5015,26,2812940.0,5.750018,addition,14.6417001,Q1 2001,CONSUMER DISCRETIONARY,13F,12/31/2021,77.9963,103.08
Advanced micro devices inc,AMD,"",40201028.0,5784929000.0,0.522445,0.4226,27,-3408137.0,-7.815185,reduction,3.3520315,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,50.43,93.06
Snap inc class a,SNAP,"",122086490.0,5741727000.0,0.518543,0.9718,28,-17607412.0,-12.604281,reduction,8.9119404,Q1 2017,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,23.23,33.19
Stryker corp.,SYK,"",21156776.0,5657745000.0,0.510959,0.5632,29,-1519616.0,-6.701313,reduction,5.6014753,Q1 2001,HEALTH CARE,13F,12/31/2021,126.31,261.7
Bank of america corp. (north carolina national bank),BAC,"",125923671.0,5602344000.0,0.505955,0.5915,30,-22044806.0,-14.898312,reduction,1.5613879,Q1 2001,FINANCE,13F,12/31/2021,27.69,37.57
Hca healthcare inc,HCA,"",21128934.0,5428445000.0,0.49025,0.4888,31,-257102.0,-1.202196,reduction,6.9959096,Q1 2011,HEALTH CARE,13F,12/31/2021,113.99,260.94
Roper technologies inc,ROP,"",10846059.0,5334743000.0,0.481788,0.4727,32,-405430.0,-3.603345,reduction,10.2706135,Q1 2001,INDUSTRIALS,13F,12/31/2021,159.17,461.16
Astrazeneca plc,AZN,"",89840751.0,5233224000.0,0.472619,0.4656,33,7518229.0,9.132651,addition,2.8991733,Q3 2016,HEALTH CARE,13F,12/31/2021,50.8645,69.05
Wells fargo & co.  (northwest bancorporation),WFC,"",106813994.0,5124936000.0,0.46284,0.5935,34,-28995616.0,-21.350195,reduction,2.8097200,Q1 2001,FINANCE,13F,12/31/2021,40.99,46.35
Humana  inc.,HUM,"",10508002.0,4874242000.0,0.440199,0.3833,35,48738.0,0.465979,addition,8.2907763,Q1 2001,HEALTH CARE,13F,12/31/2021,332.2134,460.56
Becton  dickinson and co.,BDX,"",19807815.45,4859775000.0,0.438893,0.3574,36,3981547.92,25.157845,addition,6.7860466,Q1 2001,HEALTH CARE,13F,12/31/2021,209.5809,271.68
Yum! brands  inc. (tricon global restaurants),YUM,"",34105072.0,4735830000.0,0.427699,0.365,37,2415909.0,7.62377,addition,11.8018396,Q1 2001,CONSUMER DISCRETIONARY,13F,12/31/2021,86.3437,122.97
Fiserv inc.,FISV,"",44832098.0,4653124000.0,0.42023,0.4739,38,-1547807.0,-3.337236,reduction,6.7903559,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,41.83,99.67
Shopify inc,SHOP,"",3324595.0,4579439000.0,0.413575,0.4025,39,172463.0,5.471313,addition,2.9164599,Q2 2015,COMMUNICATIONS,13F,12/31/2021,570.4502,579.51
Anthem inc,ANTM,"",9802869.0,4544022000.0,0.410377,0.3449,40,-20557.0,-0.209265,reduction,3.8706069,Q4 2001,HEALTH CARE,13F,12/31/2021,188.75,516.72
Abbvie inc,ABBV,"",32585913.0,4412133000.0,0.398466,0.2662,41,6377892.0,24.335649,addition,1.8448843,Q4 2012,HEALTH CARE,13F,12/31/2021,,162.31
American international group  inc.,AIG,"",76999222.0,4378175000.0,0.395399,0.3908,42,1387749.0,1.835368,addition,9.2736895,Q1 2001,FINANCE,13F,12/31/2021,80.614,63.03
Dollar general corp.,DG,"",18522760.0,4368223000.0,0.3945,0.3204,43,2484226.0,15.489109,addition,8.0931936,Q4 2009,CONSUMER DISCRETIONARY,13F,12/31/2021,98.224,248.77
Chubb limited,CB,"",22571047.0,4363209000.0,0.394047,0.3239,44,2742790.0,13.832734,addition,5.2955180,Q1 2001,FINANCE,13F,12/31/2021,152.0301,210.52
Marsh & mclennan companies  inc.,MMC,"",24998897.0,4345308000.0,0.392431,0.3989,45,-2977369.0,-10.642482,reduction,4.9722765,Q1 2001,FINANCE,13F,12/31/2021,58.47,169.76
Cigna holding co,CI,"",17961332.0,4124461000.0,0.372486,0.3273,46,597424.0,3.440608,addition,5.6415336,Q1 2001,FINANCE,13F,12/31/2021,168.2324,259.21
Booking holdings inc. (priceline),BKNG,"",1709055.0,4100416000.0,0.370314,0.3697,47,55146.0,3.334283,addition,4.1619824,Q4 2003,CONSUMER DISCRETIONARY,13F,12/31/2021,953.6981,2227.29
Pnc financial services group  inc. (the) (provident national trust co.),PNC,"",20119935.0,4034449000.0,0.364356,0.3603,48,561343.0,2.870058,addition,4.8081501,Q1 2001,FINANCE,13F,12/31/2021,123.831,175.0
