Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Microsoft corp.,MSFT,"",45617899.0,15342213000.0,3.4953,2.6673,1,9745826.0,27.168282,addition,0.6084929,Q4 2004,INFORMATION TECHNOLOGY,13F,12/31/2021,158.3039,279.83
Apple inc,AAPL,"",70210815.0,12467335000.0,2.8404,2.3749,2,6574936.0,10.332121,addition,0.4302281,Q3 2005,INFORMATION TECHNOLOGY,13F,12/31/2021,58.2575,165.29
Toronto-dominion bank (the),TD,"",144616206.0,11089169000.0,2.5264,2.4733,3,2858678.0,2.016597,addition,7.9512260,Q4 2004,FINANCE,13F,12/31/2021,28.0409,74.5
Royal bank of canada (nyse),RY,"",75887860.0,8054737000.0,1.8351,1.9463,4,1709530.0,2.304622,addition,5.3535525,Q4 2004,FINANCE,13F,12/31/2021,59.2995,108.51
Bank of nova scotia (nyse) adr,BNS,"",111705617.0,8008178000.0,1.8245,1.7413,5,4408275.0,4.108466,addition,9.2826629,Q4 2004,FINANCE,13F,12/31/2021,50.4045,67.51
Amazon.com inc.,AMZN,"",2335814.0,7788397000.0,1.7744,1.6634,6,415988.0,21.668005,addition,0.4590429,Q2 2007,CONSUMER DISCRETIONARY,13F,12/31/2021,2173.3199,3034.13
Enbridge  inc. (interprovincial pipe line system - ipl energy),ENB,"",163065859.0,6372612000.0,1.4518,1.6992,7,1194591.0,0.737988,addition,8.0479662,Q4 2004,ENERGY,13F,12/31/2021,28.5179,46.22
Bank of montreal (nyse),BMO,"",56020341.0,6034511000.0,1.3748,1.5556,8,-3119606.0,-5.274956,reduction,8.6390475,Q4 2004,FINANCE,13F,12/31/2021,63.34,113.53
Unitedhealth group inc.,UNH,"",11945458.0,5998291000.0,1.3666,1.0586,9,1673482.0,16.291724,addition,1.2695790,Q3 2012,HEALTH CARE,13F,12/31/2021,242.3623,534.82
Brookfield asset management inc,BAM,"",96321427.0,5815886000.0,1.325,1.3832,10,-1687857.0,-1.72214,reduction,5.8689576,Q4 2004,REAL ESTATE,13F,12/31/2021,21.13,54.63
Alphabet inc. class a,GOOGL,"",1907429.0,5525898000.0,1.2589,1.1795,11,234702.0,14.0311,addition,0.6342138,Q4 2005,COMMUNICATIONS,13F,12/31/2021,1257.7065,2534.6
Ishares core s&p 500 etf,IVV,"",11385698.0,5430864000.0,1.2373,0.9734,12,2819607.0,32.915912,addition,No Data,Q4 2004,FINANCE,13F,12/31/2021,367.6577,439.7
Jpmorgan chase & co. (chemical bank),JPM,"",30440951.0,4820323000.0,1.0982,1.0998,13,4965828.0,19.492852,addition,1.0309150,Q4 2004,FINANCE,13F,12/31/2021,98.2795,126.12
Tc energy corp,TRP,"",92177256.0,4289928000.0,0.9774,1.1222,14,3703951.0,4.186518,addition,9.3979029,Q3 2012,ENERGY,13F,12/31/2021,44.7739,57.46
Canadian imperial bank of commerce (nyse),CM,"",36739426.0,4282346000.0,0.9756,1.0579,15,700595.0,1.944,addition,8.1468365,Q4 2004,FINANCE,13F,12/31/2021,75.5767,114.64
Nvidia corp.,NVDA,"",14186778.0,4172472000.0,0.9506,0.6042,16,3128758.0,28.294016,addition,0.5652103,Q3 2009,INFORMATION TECHNOLOGY,13F,12/31/2021,205.0334,212.58
Bce inc. (bell telephone of canada),BCE,"",78349807.0,4077325000.0,0.9289,1.0476,17,-991324.0,-1.249445,reduction,8.6121215,Q4 2004,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,35.96,58.2
Alphabet inc. class c,GOOG,"",1387997.0,4016295000.0,0.915,0.9224,18,75901.0,5.784714,addition,0.4397413,Q2 2014,COMMUNICATIONS,13F,12/31/2021,1096.2698,2545.06
Spdr s&p 500 etf trust,SPY,"",8183742.0,3886950000.0,0.8855,0.9766,19,-444130.0,-5.147619,reduction,No Data,Q4 2004,FINANCE,13F,12/31/2021,315.86,437.79
Canadian national railway co.,CNI,"",30881375.0,3794086000.0,0.8644,1.0041,20,-2038019.0,-6.190937,reduction,4.4283228,Q4 2004,TRANSPORTS,13F,12/31/2021,33.46,127.19
Canadian pacific railway ltd. (2001),CP,"",50754243.0,3651259000.0,0.8318,0.7041,21,9727801.0,23.711052,addition,5.4590730,Q4 2004,TRANSPORTS,13F,12/31/2021,97.055,76.38
Telus corp. non-voting shares,TU,"",139900658.0,3297458000.0,0.7512,0.7958,22,2502865.0,1.82162,addition,10.1687673,Q3 2012,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,16.0569,26.73
Home depot  inc. (the),HD,"",7873305.0,3267498000.0,0.7444,0.6628,23,217828.0,2.845388,addition,0.7619205,Q4 2004,CONSUMER DISCRETIONARY,13F,12/31/2021,165.8301,304.52
Manulife financial corp,MFC,"",165599474.0,3157982000.0,0.7195,0.8314,24,1766269.0,1.07809,addition,8.5241637,Q4 2004,FINANCE,13F,12/31/2021,19.4756,21.36
Meta platforms  inc.,FB,"",8661912.0,2913435000.0,0.6638,0.8018,25,-295336.0,-3.297173,reduction,0.3751239,Q2 2012,COMMUNICATIONS,13F,12/31/2021,180.51,210.18
Johnson & johnson co.,JNJ,"",16971213.0,2903264000.0,0.6614,0.7117,26,262306.0,1.569857,addition,0.6454729,Q4 2004,HEALTH CARE,13F,12/31/2021,111.702,179.9
Sun life financial inc,SLF,"",51043737.0,2842626000.0,0.6476,0.6737,27,1395497.0,2.810768,addition,8.7098398,Q4 2004,FINANCE,13F,12/31/2021,34.8945,54.61
Danaher corp.,DHR,"",8500278.0,2796677000.0,0.6372,0.5818,28,1254913.0,17.320218,addition,1.1882641,Q2 2020,HEALTH CARE,13F,12/31/2021,206.252,276.98
Visa inc,V,"",12477347.0,2703966000.0,0.616,0.7281,29,84698.0,0.683454,addition,0.7523619,Q3 2012,FINANCE,13F,12/31/2021,105.7583,212.79
Canadian natural resources  ltd,CNQ,"",62333485.0,2633590000.0,0.6,0.5993,30,145375.0,0.233767,addition,5.3397682,Q4 2004,ENERGY,13F,12/31/2021,29.1406,65.78
Costco co.,COST,"",4599866.0,2611344000.0,0.5949,0.5469,31,-14991.0,-0.324842,reduction,1.0378190,Q1 2008,CONSUMER STAPLES,13F,12/31/2021,211.03,590.39
Nutrien ltd,NTR,"",30927103.0,2325718000.0,0.5299,0.5272,32,97136.0,0.31507,addition,5.6098463,Q4 2004,MATERIALS,13F,12/31/2021,36.0633,112.0
