Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Apple inc,AAPL,"",633115246.0,112422274000.0,5.3309,4.6531,1,10951705.0,1.760261,addition,3.8795155,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,7.5626,165.29
Microsoft corp.,MSFT,"",302541869.0,101750881000.0,4.82488,4.3872,2,8108943.0,2.754088,addition,4.0355777,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,47.5626,279.83
Amazon.com inc.,AMZN,"",17021616.0,56755855000.0,2.69128,2.8341,3,698970.0,4.28221,addition,3.3451514,Q1 2001,CONSUMER DISCRETIONARY,13F,12/31/2021,610.7978,3034.13
Tesla inc,TSLA,"",32465720.0,34309124000.0,1.62689,1.28,4,1235579.0,3.956367,addition,3.2327847,Q3 2010,CONSUMER DISCRETIONARY,13F,12/31/2021,401.3416,985.0
Alphabet inc. class a,GOOGL,"",11252792.0,32599789000.0,1.54583,1.5679,5,157280.0,1.41751,addition,3.7415157,Q3 2004,COMMUNICATIONS,13F,12/31/2021,749.2846,2534.6
Meta platforms  inc.,FB,"",94303590.0,31719012000.0,1.50407,1.6578,6,1887737.0,2.042655,addition,4.0840330,Q2 2012,COMMUNICATIONS,13F,12/31/2021,84.1613,210.18
Alphabet inc. class c,GOOG,"",10608366.0,30696262000.0,1.45557,1.4861,7,58955.0,0.558846,addition,3.3609123,Q2 2014,COMMUNICATIONS,13F,12/31/2021,809.0394,2545.06
Nvidia corp.,NVDA,"",97561681.0,28693866000.0,1.36062,1.0706,8,-217848.0,-0.222795,reduction,3.8869196,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,165.55,212.58
Johnson & johnson co.,JNJ,"",144677639.0,24750004000.0,1.17361,1.2137,9,2492359.0,1.752895,addition,5.5025821,Q1 2001,HEALTH CARE,13F,12/31/2021,69.7559,179.9
Berkshire hathaway inc class b,BRK.B,"",77687316.0,23228507000.0,1.10146,1.1005,10,1403444.0,1.839765,addition,6.0333397,Q1 2001,FINANCE,13F,12/31/2021,115.2015,344.33
Unitedhealth group inc.,UNH,"",45559868.0,22877432000.0,1.08481,0.923,11,869827.0,1.946355,addition,4.8421628,Q1 2001,HEALTH CARE,13F,12/31/2021,87.1963,534.82
Jpmorgan chase & co. (chemical bank),JPM,"",141720090.0,22441376000.0,1.06414,1.2064,12,2277065.0,1.632972,addition,4.7995008,Q1 2001,FINANCE,13F,12/31/2021,55.716,126.12
Home depot  inc. (the),HD,"",45441582.0,18858711000.0,0.894252,0.8228,13,-1982403.0,-4.18017,reduction,4.3975018,Q1 2001,CONSUMER DISCRETIONARY,13F,12/31/2021,64.05,304.52
Procter & gamble co. (oh) (1905),PG,"",105458164.0,17250846000.0,0.81801,0.7665,14,1716517.0,1.654607,addition,4.3578693,Q1 2001,CONSUMER STAPLES,13F,12/31/2021,64.4502,158.57
Pfizer  inc.,PFE,"",284816832.0,16818434000.0,0.797505,0.6361,15,5013651.0,1.791849,addition,5.0429923,Q1 2001,HEALTH CARE,13F,12/31/2021,30.1577,53.12
Chevron corp. (standard oil of california),CVX,"",138896127.0,16299461000.0,0.772897,0.7519,16,-1335651.0,-0.95246,reduction,7.1318266,Q1 2001,ENERGY,13F,12/31/2021,97.06,171.59
Visa inc,V,"",74542114.0,16154022000.0,0.766,0.8599,17,1504897.0,2.060452,addition,4.4947571,Q2 2008,FINANCE,13F,12/31/2021,33.838,212.79
Exxonmobil corp. (standard oil of new jersey),XOM,"",253211345.0,15494002000.0,0.734703,0.7837,18,1128974.0,0.447859,addition,5.9810043,Q1 2001,ENERGY,13F,12/31/2021,70.2494,87.83
Bank of america corp. (north carolina national bank),BAC,"",329881001.0,14676406000.0,0.695934,0.7346,19,2473707.0,0.755544,addition,4.0903526,Q1 2001,FINANCE,13F,12/31/2021,19.4194,37.57
