Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Apple inc,AAPL,"",1261261357.0,223962180000.0,5.07931,4.4505,1,-5071310.0,-0.400472,reduction,7.7285819,Q2 2002,INFORMATION TECHNOLOGY,13F,12/31/2021,8.58,165.29
Microsoft corp.,MSFT,"",615950062.0,207156324000.0,4.69816,4.2978,2,2168376.0,0.353281,addition,8.2161003,Q2 2002,INFORMATION TECHNOLOGY,13F,12/31/2021,47.7295,279.83
Amazon.com inc.,AMZN,"",33421754.0,111439490000.0,2.52737,2.7154,3,141333.0,0.424673,addition,6.5681677,Q2 2002,CONSUMER DISCRETIONARY,13F,12/31/2021,611.8616,3034.13
Alphabet inc. class a,GOOGL,"",22972466.0,66552153000.0,1.50936,1.5247,4,10686.0,0.046538,addition,7.6382681,Q3 2004,COMMUNICATIONS,13F,12/31/2021,518.7768,2534.6
Tesla inc,TSLA,"",62448572.0,65994402000.0,1.49671,1.194,5,456560.0,0.736482,addition,6.2183369,Q3 2010,CONSUMER DISCRETIONARY,13F,12/31/2021,253.3471,985.0
Meta platforms  inc.,FB,"",181965468.0,61204085000.0,1.38807,1.5417,6,-927524.0,-0.50714,reduction,7.8804315,Q2 2012,COMMUNICATIONS,13F,12/31/2021,83.43,210.18
Alphabet inc. class c,GOOG,"",21035884.0,60869223000.0,1.38047,1.4003,7,-116348.0,-0.550051,reduction,6.6645288,Q2 2014,COMMUNICATIONS,13F,12/31/2021,670.57,2545.06
Nvidia corp.,NVDA,"",196015550.0,57650134000.0,1.30747,1.0026,8,1167896.0,0.599389,addition,7.8093845,Q2 2002,INFORMATION TECHNOLOGY,13F,12/31/2021,159.139,212.58
Jpmorgan chase & co. (chemical bank),JPM,"",260062354.0,41180874000.0,0.933954,1.0595,9,-532155.0,-0.204208,reduction,8.8072868,Q2 2002,FINANCE,13F,12/31/2021,59.32,126.12
Johnson & johnson co.,JNJ,"",234782632.0,40164265000.0,0.910898,0.9365,10,1303457.0,0.558275,addition,8.9295811,Q2 2002,HEALTH CARE,13F,12/31/2021,86.1043,179.9
Unitedhealth group inc.,UNH,"",79483862.0,39912025000.0,0.905177,0.7683,11,315811.0,0.398912,addition,8.4476495,Q2 2002,HEALTH CARE,13F,12/31/2021,112.6139,534.82
Berkshire hathaway inc class b,BRK.B,"",131774278.0,39400509000.0,0.893577,0.9021,12,-1298186.0,-0.975548,reduction,10.2338325,Q2 2002,FINANCE,13F,12/31/2021,126.33,344.33
Home depot  inc. (the),HD,"",93202329.0,38679899000.0,0.877234,0.7604,13,-60315.0,-0.064672,reduction,9.0194353,Q2 2002,CONSUMER DISCRETIONARY,13F,12/31/2021,82.61,304.52
Procter & gamble co. (oh) (1905),PG,"",215125047.0,35190154000.0,0.798089,0.7457,14,379860.0,0.176889,addition,8.8896564,Q2 2002,CONSUMER STAPLES,13F,12/31/2021,71.5328,158.57
Visa inc,V,"",143761460.0,31154546000.0,0.706564,0.7978,15,-432176.0,-0.299719,reduction,8.6685607,Q2 2008,FINANCE,13F,12/31/2021,71.88,212.79
Pfizer  inc.,PFE,"",465274925.0,27474484000.0,0.623102,0.4913,16,5332622.0,1.159411,addition,8.2381995,Q2 2002,HEALTH CARE,13F,12/31/2021,29.552,53.12
Bank of america corp. (north carolina national bank),BAC,"",586192046.0,26079684000.0,0.591469,0.6482,17,-28636528.0,-4.657644,reduction,7.2684761,Q2 2002,FINANCE,13F,12/31/2021,20.45,37.57
Mastercard inc,MA,"",70152808.0,25207307000.0,0.571684,0.6063,18,-61306.0,-0.087313,reduction,7.2342660,Q2 2006,FINANCE,13F,12/31/2021,88.64,357.82
Broadcom ltd. (avago technologies),AVGO,"",36465158.0,24264282000.0,0.550297,0.4341,19,423936.0,1.176253,addition,8.9313837,Q3 2009,INFORMATION TECHNOLOGY,13F,12/31/2021,175.3938,573.85
Accenture plc,ACN,"",56202558.0,23298769000.0,0.5284,0.4379,20,1087856.0,1.973804,addition,8.4842462,Q2 2003,INFORMATION TECHNOLOGY,13F,12/31/2021,95.0758,319.47
Adobe systems  inc.,ADBE,"",38433923.0,21794341000.0,0.494281,0.5482,21,99255.0,0.258917,addition,8.1367341,Q2 2002,INFORMATION TECHNOLOGY,13F,12/31/2021,80.9287,420.44
Exxonmobil corp. (standard oil of new jersey),XOM,"",355607673.0,21759636000.0,0.493494,0.5157,22,2612756.0,0.740168,addition,8.3996672,Q2 2002,ENERGY,13F,12/31/2021,70.2331,87.83
Cisco systems  inc.,CSCO,"",338695807.0,21463153000.0,0.48677,0.4542,23,2743870.0,0.816745,addition,8.1531562,Q2 2002,INFORMATION TECHNOLOGY,13F,12/31/2021,22.7319,51.17
Walt disney co. (the),DIS,"",137951580.0,21367319000.0,0.484596,0.578,24,378746.0,0.275306,addition,7.5771201,Q2 2002,COMMUNICATIONS,13F,12/31/2021,68.6773,130.47
Costco co.,COST,"",37561255.0,21323524000.0,0.483603,0.4167,25,225236.0,0.603267,addition,8.4745480,Q2 2002,CONSUMER STAPLES,13F,12/31/2021,118.5993,590.39
Pepsico inc. (loft  inc.),PEP,"",122600602.0,21296951000.0,0.483,0.4548,26,857444.0,0.704306,addition,8.8670554,Q2 2002,CONSUMER STAPLES,13F,12/31/2021,80.0,171.9
Abbott laboratories,ABT,"",149152264.0,20991689000.0,0.476077,0.4365,27,372318.0,0.250247,addition,8.4578261,Q2 2002,HEALTH CARE,13F,12/31/2021,40.1318,117.69
Thermo fisher scientific  inc.,TMO,"",31103788.0,20753692000.0,0.470679,0.4394,28,137635.0,0.444469,addition,7.9510333,Q2 2002,HEALTH CARE,13F,12/31/2021,110.1262,568.9
Coca cola co.,KO,"",342258418.0,20265121000.0,0.459599,0.4479,29,-1401345.0,-0.407771,reduction,7.8952438,Q2 2002,CONSUMER STAPLES,13F,12/31/2021,29.44,65.02
Netflix inc,NFLX,"",33560277.0,20218053000.0,0.458532,0.5082,30,39351.0,0.117392,addition,7.5963459,Q2 2002,COMMUNICATIONS,13F,12/31/2021,137.6257,341.13
Comcast corp.  class a,CMCSA,"",396613344.0,19961550000.0,0.452714,0.5493,31,1228096.0,0.310607,addition,8.7672880,Q4 2002,COMMUNICATIONS,13F,12/31/2021,27.6006,47.58
Abbvie inc,ABBV,"",146312069.0,19810654000.0,0.449292,0.3899,32,782554.0,0.537729,addition,8.2836052,Q4 2012,HEALTH CARE,13F,12/31/2021,,162.31
Salesforce.com inc.,CRM,"",76162895.0,19355276000.0,0.438964,0.496,33,2532127.0,3.438952,addition,7.6932217,Q3 2004,INFORMATION TECHNOLOGY,13F,12/31/2021,94.664,189.41
Chevron corp. (standard oil of california),CVX,"",163400131.0,19175006000.0,0.434876,0.4076,34,1652383.0,1.02158,addition,8.3900208,Q2 2002,ENERGY,13F,12/31/2021,83.9908,171.59
Lilly (eli) & co.,LLY,"",69261754.0,19131483000.0,0.433889,0.3962,35,218594.0,0.316605,addition,7.2727425,Q2 2002,HEALTH CARE,13F,12/31/2021,64.7396,301.86
Qualcomm inc.,QCOM,"",104021825.0,19022471000.0,0.431417,0.3322,36,327139.0,0.315483,addition,9.2457144,Q2 2002,INFORMATION TECHNOLOGY,13F,12/31/2021,53.9467,136.91
Walmart inc,WMT,"",125160470.0,18109468000.0,0.41071,0.4336,37,-88381.0,-0.070564,reduction,4.5121108,Q2 2002,CONSUMER STAPLES,13F,12/31/2021,68.8,157.08
Intel corp.,INTC,"",344558754.0,17744776000.0,0.402439,0.4502,38,4372161.0,1.285224,addition,8.4616590,Q2 2002,INFORMATION TECHNOLOGY,13F,12/31/2021,27.1035,45.67
Paypal holdings inc,PYPL,"",94078240.0,17741274000.0,0.40236,0.6068,39,184105.0,0.196077,addition,8.0753514,Q3 2015,COMMUNICATIONS,13F,12/31/2021,46.3389,102.31
Nike inc.,NKE,"",106359777.0,17726984000.0,0.402036,0.3827,40,274258.0,0.258525,addition,6.7261174,Q2 2002,CONSUMER DISCRETIONARY,13F,12/31/2021,45.6329,133.46
Mcdonalds corp.,MCD,"",65964993.0,17683236000.0,0.401044,0.3918,41,547454.0,0.836861,addition,8.8712142,Q2 2002,CONSUMER DISCRETIONARY,13F,12/31/2021,87.0152,250.51
American tower corp.  class a,AMT,"",59157936.0,17303697000.0,0.392436,0.3879,42,321641.0,0.546671,addition,12.9765097,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,115.2092,255.54
Verizon communications (bell atlantic corp.),VZ,"",321650268.0,16712948000.0,0.379038,0.4365,43,-3713171.0,-1.141238,reduction,7.6623101,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,44.63,53.83
Nextera energy inc.,NEE,"",178849315.0,16697372000.0,0.378685,0.3465,44,1184586.0,0.666754,addition,9.1122033,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,27.0819,82.81
Danaher corp.,DHR,"",49960190.0,16437401000.0,0.372789,0.3761,45,223451.0,0.449267,addition,6.9839952,Q4 2019,HEALTH CARE,13F,12/31/2021,156.0968,276.98
Merck & co,MRK,"",211202531.0,16186562000.0,0.3671,0.3926,46,734443.0,0.348957,addition,8.3613309,Q2 2002,HEALTH CARE,13F,12/31/2021,50.1724,86.91
Prologis  inc.,PLD,"",95857871.0,16138631000.0,0.366013,0.2971,47,497668.0,0.521882,addition,12.9537664,Q2 2002,REAL ESTATE,13F,12/31/2021,50.8234,162.7
Texas instruments  inc.,TXN,"",84942678.0,16009146000.0,0.363076,0.4046,48,192562.0,0.227211,addition,9.2041115,Q2 2002,INFORMATION TECHNOLOGY,13F,12/31/2021,47.9992,173.66
Linde plc (praxair inc.),LIN,"",45664381.0,15819512000.0,0.358776,0.333,49,-31590.0,-0.069131,reduction,8.9091717,Q2 2002,MATERIALS,13F,12/31/2021,133.02,318.52
Wells fargo & co.  (northwest bancorporation),WFC,"",325460566.0,15615598000.0,0.354151,0.3832,50,-6982517.0,-2.100365,reduction,8.5611727,Q2 2002,FINANCE,13F,12/31/2021,34.27,46.35
Lowes companies  inc.,LOW,"",57697261.0,14913588000.0,0.33823,0.2971,51,-1272040.0,-2.157122,reduction,8.7213779,Q2 2002,CONSUMER DISCRETIONARY,13F,12/31/2021,34.7,201.28
Intuit  inc.,INTU,"",22621704.0,14550733000.0,0.330001,0.2849,52,1363083.0,6.411907,addition,7.9988353,Q2 2002,INFORMATION TECHNOLOGY,13F,12/31/2021,122.8647,465.11
At&t inc. (southwestern bell - sbc corp.),T,"",758122193.46,14085955000.0,0.31946,0.3835,53,1321006.44,0.174551,addition,8.0163579,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2021,33.2948,19.54
Advanced micro devices inc,AMD,"",97508325.0,14031448000.0,0.318224,0.2503,54,-418741.0,-0.427605,reduction,8.1304133,Q2 2002,INFORMATION TECHNOLOGY,13F,12/31/2021,15.09,93.06
United parcel service  inc. class b,UPS,"",64571614.0,13840280000.0,0.313888,0.291,55,225925.0,0.351111,addition,8.8048018,Q2 2002,TRANSPORTS,13F,12/31/2021,92.2686,188.02
Union pacific corp.,UNP,"",53665479.0,13519944000.0,0.306623,0.2638,56,-522250.0,-0.963779,reduction,8.4260585,Q2 2002,TRANSPORTS,13F,12/31/2021,73.94,246.21
Bristol-myers squibb co,BMY,"",199834483.0,12459679000.0,0.282577,0.2924,57,903084.0,0.453968,addition,9.1679271,Q2 2002,HEALTH CARE,13F,12/31/2021,48.5626,77.51
