Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Microsoft corp.,MSFT,"",61582342.0,20711374000.0,3.31388,3.0313,1,-1636106.0,-2.58802,reduction,0.8214411,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,36.11,279.83
Unitedhealth group inc.,UNH,"",29036147.0,14580210000.0,2.33287,1.9948,2,-980289.0,-3.265841,reduction,3.0859999,Q3 2005,HEALTH CARE,13F,12/31/2021,90.7,534.82
Pfizer  inc.,PFE,"",221419680.0,13074833000.0,2.09201,1.6163,3,470908.0,0.21313,addition,3.9204767,Q1 2001,HEALTH CARE,13F,12/31/2021,32.9856,53.12
Alphabet inc. class a,GOOGL,"",4382983.0,12697677000.0,2.03166,2.1232,4,-286240.0,-6.130356,reduction,1.4573272,Q3 2004,COMMUNICATIONS,13F,12/31/2021,916.06,2534.6
Apple inc,AAPL,"",60970648.0,10826558000.0,1.73228,1.5402,5,-3025825.0,-4.728112,reduction,0.3736075,Q1 2007,INFORMATION TECHNOLOGY,13F,12/31/2021,56.87,165.29
Amazon.com inc.,AMZN,"",2972104.0,9910005000.0,1.58563,1.5405,6,214882.0,7.793424,addition,0.5840890,Q4 2008,CONSUMER DISCRETIONARY,13F,12/31/2021,2003.2662,3034.13
Meta platforms  inc.,FB,"",24414541.0,8211831000.0,1.31391,1.5374,7,-2218320.0,-8.329259,reduction,1.0573276,Q4 2012,COMMUNICATIONS,13F,12/31/2021,192.79,210.18
Procter & gamble co. (oh) (1905),PG,"",47593320.0,7785316000.0,1.24567,1.1347,8,-126695.0,-0.265497,reduction,1.9667085,Q1 2001,CONSUMER STAPLES,13F,12/31/2021,107.09,158.57
Jpmorgan chase & co. (chemical bank),JPM,"",48455308.0,7672897000.0,1.22768,1.4269,9,-2797998.0,-5.459156,reduction,1.6409903,Q1 2001,FINANCE,13F,12/31/2021,60.85,126.12
Lilly (eli) & co.,LLY,"",27284287.0,7536465000.0,1.20585,1.1154,10,-1097779.0,-3.867861,reduction,2.8649519,Q1 2001,HEALTH CARE,13F,12/31/2021,99.15,301.86
Charles schwab corp,SCHW,"",81757796.0,6875833000.0,1.10015,0.997,11,1285974.0,1.598043,addition,4.5055031,Q2 2016,FINANCE,13F,12/31/2021,42.3079,82.75
Mcdonalds corp.,MCD,"",23721291.0,6358966000.0,1.01745,1.1047,12,-3216210.0,-11.939526,reduction,3.1901262,Q1 2001,CONSUMER DISCRETIONARY,13F,12/31/2021,161.06,250.51
Tjx companies inc.,TJX,"",83641888.0,6350091000.0,1.01603,0.991,13,-4667340.0,-5.285223,reduction,7.0117699,Q1 2001,CONSUMER DISCRETIONARY,13F,12/31/2021,32.88,62.71
Danaher corp.,DHR,"",17683670.0,5818104000.0,0.930912,0.9515,14,-691540.0,-3.76344,reduction,2.4720215,Q2 2004,HEALTH CARE,13F,12/31/2021,176.83,276.98
Home depot  inc. (the),HD,"",13922740.0,5778078000.0,0.924508,0.9105,15,-2386000.0,-14.630192,reduction,1.3473403,Q1 2001,CONSUMER DISCRETIONARY,13F,12/31/2021,164.01,304.52
Johnson & johnson co.,JNJ,"",32507264.0,5561017000.0,0.889778,0.8859,16,256723.0,0.796027,addition,1.2363617,Q1 2001,HEALTH CARE,13F,12/31/2021,95.9083,179.9
Texas instruments  inc.,TXN,"",29203786.0,5504038000.0,0.880661,0.7744,17,5516681.0,23.289807,addition,3.1644270,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,133.1856,173.66
Cisco systems  inc.,CSCO,"",85618307.0,5425630000.0,0.868115,0.8621,18,-7503303.0,-8.057531,reduction,2.0610218,Q1 2001,INFORMATION TECHNOLOGY,13F,12/31/2021,32.25,51.17
Bank of america corp. (north carolina national bank),BAC,"",121281827.0,5395829000.0,0.863347,1.0088,19,-18437650.0,-13.196192,reduction,1.5038315,Q1 2001,FINANCE,13F,12/31/2021,20.59,37.57
Chubb limited,CB,"",27659884.0,5346931000.0,0.855523,0.8315,20,-519776.0,-1.844508,reduction,6.4894382,Q1 2001,FINANCE,13F,12/31/2021,88.6,210.52
Raytheon technologies corp. (united technologies),RTX,"",59255310.0,5099512000.0,0.815936,0.904,21,-2576274.0,-4.166599,reduction,3.9761503,Q1 2001,INDUSTRIALS,13F,12/31/2021,59.71,104.27
