FXI: iShares China Large-Cap ETF
Inception Date: 2004-10-05
Fund Holdings as of: 2022-04-13
Total Assets Under Management (in thousands):	5469150
Shares Outstanding: 171300000
Expense Ratio: 0.74%
Tracks This Index: FTSE China 50 Net Tax USD (TR)
ETF Database Category: China Equities
Issuer: Blackrock Financial Management
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FXI


Holding,Symbol,Weighting
Alibaba Group Holding Ltd.,9988,9.22%
Tencent Holdings Ltd.,700,8.74%
Meituan Class B,3690,8.16%
China Construction Bank Corporation Class H,939,7.36%
Industrial and Commercial Bank of China Limited Class H,1398,5.04%
"JD.com, Inc. Class A",9618,4.58%
"Ping An Insurance (Group) Company of China, Ltd. Class H",2318,4.31%
"Baidu, Inc. Class A",9888,3.86%
Bank of China Limited Class H,3988,3.32%
Netease Inc,9999,3.19%
"China Merchants Bank Co., Ltd. Class H",3968,3.11%
Wuxi Biologics (Cayman) Inc.,2269,2.82%
BYD Company Limited Class H,1211,2.7%
Xiaomi Corp. Class B,1810,2.29%
Li Ning Company Limited,2331,1.92%
China Resources Land Limited,1109,1.49%
"XPeng, Inc. Class A",9868,1.48%
Kuaishou Technology Class B,1024,1.44%
China Petroleum & Chemical Corporation Class H,386,1.43%
China Overseas Land & Investment Limited,688,1.41%
ANTA Sports Products Ltd.,2020,1.41%
Agricultural Bank of China Limited Class H,1288,1.29%
China Life Insurance Co. Ltd. Class H,2628,1.26%
China Shenhua Energy Co. Ltd. Class H,1088,1.23%
PetroChina Company Limited Class H,857,1.18%
"Zijin Mining Group Co., Ltd. Class H",2899,1.11%
Longfor Group Holdings Ltd.,960,1.09%
Shenzhou International Group Holdings Limited,2313,1.06%
"Nongfu Spring Co., Ltd. Class H",9633,1.03%
"Sunny Optical Technology (Group) Co., Ltd.",2382,0.99%
China Resources Beer (Holdings) Co. Ltd.,291,0.97%
"Postal Savings Bank of China Co., Ltd. Class H",1658,0.86%
"Haier Smart Home Co., Ltd. Class H",6690,0.84%
Anhui Conch Cement Company Limited Class H,914,0.69%
"China Pacific Insurance (Group) Co., Ltd. Class H",2601,0.69%
CITIC Securities Co. Ltd. Class H,6030,0.66%
CITIC Limited,267,0.6%
"COSCO SHIPPING Holdings Co., Ltd. Class H",1919,0.58%
"Bank of Communications Co., Ltd. Class H",3328,0.57%
"China Vanke Co., Ltd Class H",2202,0.54%
China CITIC Bank Corporation Ltd Class H,998,0.53%
"WuXi AppTec Co., Ltd. Class H",2359,0.53%
"Great Wall Motor Co., Ltd. Class H",2333,0.49%
Smoore International Holdings Limited,6969,0.41%
China International Capital Corp. Ltd. Class H,3908,0.36%
People\'s Insurance Co. (Group) of China Ltd. Class H,1339,0.29%
"China Minsheng Banking Corp., Ltd. Class H",1988,0.27%
"Ganfeng Lithium Co., Ltd. Class H",1772,0.23%
"China Everbright Bank Co., Ltd. Class H",6818,0.13%
"CSC Financial Co., Ltd. Class H",6066,0.1%
BlackRock Cash Funds Treasury SL Agency Shares,Other,0.1%
U.S. Dollar,Other,0.05%
