IEFA: iShares Core MSCI EAFE ETF
Inception Date: 2012-10-18
Fund Holdings as of: 2022-04-13
Total Assets Under Management (in thousands):	98741000
Shares Outstanding: 1445600000
Expense Ratio: 0.07%
Tracks This Index: MSCI EAFE Investable Market Index
ETF Database Category: Foreign Large Cap Equities
Issuer: Blackrock Financial Management
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IEFA


Holding,Symbol,Weighting
Nestle S.A.,NESN,2.0%
Roche Holding Ltd Dividend Right Cert.,ROG,1.58%
ASML Holding NV,ASML,1.36%
Shell PLC,SHEL,1.19%
AstraZeneca PLC,AZN,1.15%
Novartis AG,NOVN,1.09%
Novo Nordisk A/S Class B,NOVO.B,1.08%
BHP Group Ltd,BHP,1.06%
LVMH Moet Hennessy Louis Vuitton SE,MC,1.03%
Toyota Motor Corp.,7203,0.96%
HSBC Holdings Plc,HSBA,0.75%
Commonwealth Bank of Australia,CBA,0.73%
Sanofi,SAN,0.69%
TotalEnergies SE,TTE,0.69%
AIA Group Limited,1299,0.67%
Diageo plc,DGE,0.65%
GlaxoSmithKline plc,GSK,0.63%
Unilever PLC,ULVR,0.62%
Sony Group Corporation,6758,0.62%
SAP SE,SAP,0.59%
BP p.l.c.,BP,0.56%
L\'Oreal S.A.,OR,0.53%
Siemens AG,SIE,0.52%
Allianz SE,ALV,0.52%
British American Tobacco p.l.c.,BATS,0.5%
CSL Limited,CSL,0.5%
Rio Tinto plc,RIO,0.49%
Keyence Corporation,6861,0.47%
Air Liquide SA,AI,0.45%
Schneider Electric SE,SU,0.45%
National Australia Bank Limited,NAB,0.43%
Bayer AG,BAYN,0.39%
Zurich Insurance Group Ltd,ZURN,0.39%
Anglo American plc,AAL,0.38%
"Mitsubishi UFJ Financial Group, Inc.",8306,0.38%
Glencore plc,GLEN,0.37%
Tokyo Electron Ltd.,8035,0.36%
Westpac Banking Corporation,WBC,0.36%
Airbus SE,AIR,0.36%
Iberdrola SA,IBE,0.35%
Compagnie Financiere Richemont SA,CFR,0.35%
U.S. Dollar,Other,0.34%
UBS Group AG,UBSG,0.34%
Deutsche Telekom AG,DTE,0.33%
RELX PLC,REL,0.33%
Mercedes-Benz Group AG,MBG,0.32%
BNP Paribas S.A. Class A,BNP,0.32%
"Banco Santander, S.A.",SAN,0.32%
"Recruit Holdings Co., Ltd.",6098,0.31%
Australia and New Zealand Banking Group Limited,ANZ,0.31%
"Nintendo Co., Ltd.",7974,0.31%
Enel SpA,ENEL,0.3%
AXA SA,CS,0.3%
National Grid plc,NG,0.3%
Reckitt Benckiser Group plc,RKT,0.3%
KDDI Corporation,9433,0.29%
SoftBank Group Corp.,9984,0.29%
Macquarie Group Limited,MQG,0.28%
