QQQ: Invesco QQQ Trust
Inception Date: 1999-03-10
Fund Holdings as of: 2022-04-14
Total Assets Under Management (in thousands):	185949000
Shares Outstanding: 536900000
Expense Ratio: 0.2%
Tracks This Index: NASDAQ-100 Index
ETF Database Category: Large Cap Growth Equities
Issuer: Invesco
Structure: UIT
ETF Home Page: https://etfdb.com/etf/QQQ


Holding,Symbol,Weighting
Apple Inc.,AAPL,12.62%
Microsoft Corporation,MSFT,9.81%
"Amazon.com, Inc.",AMZN,7.22%
Tesla Inc,TSLA,4.76%
Alphabet Inc. Class C,GOOG,3.76%
Alphabet Inc. Class A,GOOGL,3.57%
NVIDIA Corporation,NVDA,3.5%
Meta Platforms Inc. Class A,FB,3.4%
Costco Wholesale Corporation,COST,2.03%
"PepsiCo, Inc.",PEP,1.85%
Broadcom Inc.,AVGO,1.82%
Comcast Corporation Class A,CMCSA,1.67%
"Cisco Systems, Inc.",CSCO,1.65%
Adobe Incorporated,ADBE,1.54%
Intel Corporation,INTC,1.44%
"T-Mobile US, Inc.",TMUS,1.29%
Texas Instruments Incorporated,TXN,1.24%
Qualcomm Incorporated,QCOM,1.2%
"Netflix, Inc.",NFLX,1.18%
"Advanced Micro Devices, Inc.",AMD,1.18%
Amgen Inc.,AMGN,1.1%
Honeywell International Inc.,HON,1.04%
Intuit Inc.,INTU,1.02%
"PayPal Holdings, Inc.",PYPL,0.93%
"Applied Materials, Inc.",AMAT,0.78%
"Intuitive Surgical, Inc.",ISRG,0.78%
"Automatic Data Processing, Inc.",ADP,0.75%
"Charter Communications, Inc. Class A",CHTR,0.74%
Booking Holdings Inc.,BKNG,0.71%
Starbucks Corporation,SBUX,0.71%
"Mondelez International, Inc. Class A",MDLZ,0.69%
"Analog Devices, Inc.",ADI,0.64%
"Micron Technology, Inc.",MU,0.61%
"Regeneron Pharmaceuticals, Inc.",REGN,0.61%
"Gilead Sciences, Inc.",GILD,0.6%
CSX Corporation,CSX,0.6%
Vertex Pharmaceuticals Incorporated,VRTX,0.57%
"Moderna, Inc.",MRNA,0.52%
"Fiserv, Inc.",FISV,0.5%
"Airbnb, Inc. Class A",ABNB,0.49%
Lam Research Corporation,LRCX,0.49%
"Activision Blizzard, Inc.",ATVI,0.48%
"Palo Alto Networks, Inc.",PANW,0.48%
"Marriott International, Inc. Class A",MAR,0.46%
"MercadoLibre, Inc.",MELI,0.41%
Keurig Dr Pepper Inc.,KDP,0.41%
"Fortinet, Inc.",FTNT,0.41%
"Illumina, Inc.",ILMN,0.41%
"American Electric Power Company, Inc.",AEP,0.4%
"Marvell Technology, Inc.",MRVL,0.4%
Kraft Heinz Company,KHC,0.4%
ASML Holding NV ADR,ASML,0.38%
KLA Corporation,KLAC,0.38%
"Paychex, Inc.",PAYX,0.38%
"CrowdStrike Holdings, Inc. Class A",CRWD,0.38%
"DexCom, Inc.",DXCM,0.37%
Lululemon Athletica Inc,LULU,0.37%
Exelon Corporation,EXC,0.37%
"O\'Reilly Automotive, Inc.",ORLY,0.37%
"Synopsys, Inc.",SNPS,0.35%
NXP Semiconductors NV,NXPI,0.35%
Cognizant Technology Solutions Corporation Class A,CTSH,0.35%
"Autodesk, Inc.",ADSK,0.34%
"Workday, Inc. Class A",WDAY,0.34%
Monster Beverage Corporation,MNST,0.34%
Cintas Corporation,CTAS,0.33%
"IDEXX Laboratories, Inc.",IDXX,0.32%
"Cadence Design Systems, Inc.",CDNS,0.32%
Astrazeneca PLC Sponsored ADR,AZN,0.31%
Xcel Energy Inc.,XEL,0.31%
"Dollar Tree, Inc.",DLTR,0.3%
Walgreens Boots Alliance Inc,WBA,0.3%
Atlassian Corp. Plc Class A,TEAM,0.29%
"Ross Stores, Inc.",ROST,0.28%
Datadog Inc Class A,DDOG,0.28%
Microchip Technology Incorporated,MCHP,0.28%
Verisk Analytics Inc,VRSK,0.27%
"Lucid Group, Inc.",LCID,0.27%
Electronic Arts Inc.,EA,0.27%
"JD.com, Inc. Sponsored ADR Class A",JD,0.26%
"Align Technology, Inc.",ALGN,0.25%
Fastenal Company,FAST,0.25%
"Zscaler, Inc.",ZS,0.25%
eBay Inc.,EBAY,0.25%
Baidu Inc Sponsored ADR Class A,BIDU,0.24%
Biogen Inc.,BIIB,0.24%
"Old Dominion Freight Line, Inc.",ODFL,0.24%
PACCAR Inc,PCAR,0.23%
U.S. Dollar,Other,0.22%
"Copart, Inc.",CPRT,0.22%
"Zoom Video Communications, Inc. Class A",ZM,0.21%
"Seagen, Inc.",SGEN,0.21%
"Sirius XM Holdings, Inc.",SIRI,0.2%
"Match Group, Inc.",MTCH,0.2%
"ANSYS, Inc.",ANSS,0.19%
"VeriSign, Inc.",VRSN,0.18%
"Okta, Inc. Class A",OKTA,0.17%
Splunk Inc.,SPLK,0.17%
Constellation Energy Corporation,CEG,0.16%
Netease Inc Sponsored ADR,NTES,0.15%
"Skyworks Solutions, Inc.",SWKS,0.15%
"DocuSign, Inc.",DOCU,0.15%
"Pinduoduo, Inc. Sponsored ADR Class A",PDD,0.14%
