SQQQ: ProShares UltraPro Short QQQ
Inception Date: 2010-02-09
Fund Holdings as of: 2022-04-13
Total Assets Under Management (in thousands):	3091270
Shares Outstanding: 76600000
Expense Ratio: 0.95%
Tracks This Index: NASDAQ-100 Index (-300%)
ETF Database Category: Leveraged Equities
Issuer: ProShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SQQQ


Holding,Symbol,Weighting
U.S. Dollar,Other,57.07%
United States Treasury Bills 0.0% 21-APR-2022,Other,8.07%
United States Treasury Bills 0.0% 08-SEP-2022,Other,8.04%
United States Treasury Bills 0.0% 05-MAY-2022,Other,4.14%
United States Treasury Bills 0.0% 26-MAY-2022,Other,4.04%
United States Treasury Bills 0.0% 28-APR-2022,Other,3.13%
United States Treasury Bills 0.0% 14-APR-2022,Other,2.52%
United States Treasury Bills 0.0% 21-JUL-2022,Other,2.01%
United States Treasury Bills 0.0% 11-AUG-2022,Other,2.01%
United States Treasury Bills 0.0% 14-JUL-2022,Other,2.01%
United States Treasury Bills 0.0% 02-JUN-2022,Other,1.21%
United States Treasury Bills 0.0% 03-NOV-2022,Other,1.2%
United States Treasury Bills 0.0% 16-JUN-2022,Other,1.01%
United States Treasury Bills 0.0% 09-JUN-2022,Other,1.01%
United States Treasury Bills 0.0% 19-MAY-2022,Other,1.01%
United States Treasury Bills 0.0% 29-DEC-2022,Other,0.9%
United States Treasury Bills 0.0% 12-MAY-2022,Other,0.61%
