TQQQ: ProShares UltraPro QQQ
Inception Date: 2010-02-09
Fund Holdings as of: 2022-04-13
Total Assets Under Management (in thousands):	15672600
Shares Outstanding: 329600000
Expense Ratio: 0.95%
Tracks This Index: NASDAQ-100 Index (300%)
ETF Database Category: Leveraged Equities
Issuer: ProShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/TQQQ


Holding,Symbol,Weighting
Apple Inc.,AAPL,10.27%
Microsoft Corporation,MSFT,7.96%
U.S. Dollar,Other,7.33%
"Amazon.com, Inc.",AMZN,5.85%
Tesla Inc,TSLA,3.9%
Alphabet Inc. Class C,GOOG,3.04%
Alphabet Inc. Class A,GOOGL,2.89%
NVIDIA Corporation,NVDA,2.88%
Meta Platforms Inc. Class A,FB,2.75%
United States Treasury Bills 0.0% 14-JUL-2022,Other,2.64%
United States Treasury Bills 0.0% 19-MAY-2022,Other,1.85%
Costco Wholesale Corporation,COST,1.61%
Broadcom Inc.,AVGO,1.49%
"PepsiCo, Inc.",PEP,1.47%
"Cisco Systems, Inc.",CSCO,1.33%
Comcast Corporation Class A,CMCSA,1.33%
United States Treasury Bills 0.0% 12-MAY-2022,Other,1.32%
United States Treasury Bills 0.0% 14-APR-2022,Other,1.32%
United States Treasury Bills 0.0% 18-AUG-2022,Other,1.32%
Adobe Incorporated,ADBE,1.25%
Intel Corporation,INTC,1.17%
United States Treasury Bills 0.0% 21-APR-2022,Other,1.06%
"T-Mobile US, Inc.",TMUS,1.03%
Texas Instruments Incorporated,TXN,0.99%
Qualcomm Incorporated,QCOM,0.97%
"Advanced Micro Devices, Inc.",AMD,0.97%
"Netflix, Inc.",NFLX,0.95%
Amgen Inc.,AMGN,0.87%
Intuit Inc.,INTU,0.82%
Honeywell International Inc.,HON,0.82%
United States Treasury Bills 0.0% 05-MAY-2022,Other,0.79%
"PayPal Holdings, Inc.",PYPL,0.75%
"Applied Materials, Inc.",AMAT,0.63%
"Intuitive Surgical, Inc.",ISRG,0.63%
"Charter Communications, Inc. Class A",CHTR,0.6%
"Automatic Data Processing, Inc.",ADP,0.6%
Booking Holdings Inc.,BKNG,0.57%
Starbucks Corporation,SBUX,0.57%
"Mondelez International, Inc. Class A",MDLZ,0.54%
United States Treasury Bills 0.0% 26-MAY-2022,Other,0.53%
United States Treasury Bills 0.0% 03-NOV-2022,Other,0.53%
"Analog Devices, Inc.",ADI,0.51%
"Micron Technology, Inc.",MU,0.5%
"Gilead Sciences, Inc.",GILD,0.48%
"Regeneron Pharmaceuticals, Inc.",REGN,0.48%
CSX Corporation,CSX,0.47%
Vertex Pharmaceuticals Incorporated,VRTX,0.45%
"Moderna, Inc.",MRNA,0.42%
"Fiserv, Inc.",FISV,0.4%
Lam Research Corporation,LRCX,0.4%
United States Treasury Bills 0.0% 02-JUN-2022,Other,0.4%
"Airbnb, Inc. Class A",ABNB,0.39%
"Activision Blizzard, Inc.",ATVI,0.38%
"Palo Alto Networks, Inc.",PANW,0.38%
"MercadoLibre, Inc.",MELI,0.35%
