VEA: Vanguard FTSE Developed Markets ETF
Inception Date: 2007-07-20
Fund Holdings as of: 2022-02-28
Total Assets Under Management (in thousands):	105776000
Shares Outstanding: 2239580000
Expense Ratio: 0.05%
Tracks This Index: FTSE Developed ex US All Cap Net Tax (US RIC) Index
ETF Database Category: Foreign Large Cap Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VEA


Holding,Symbol,Weighting
U.S. Dollar,Other,2.15%
Nestle S.A.,NESN,1.58%
"Samsung Electronics Co., Ltd.",005930,1.23%
ASML Holding NV,ASML,1.15%
Roche Holding Ltd,ROG,1.13%
Toyota Motor Corp.,7203,1.0%
Shell PLC,SHEL,0.9%
AstraZeneca PLC,AZN,0.83%
LVMH Moet Hennessy Louis Vuitton SE,MC,0.81%
Novartis AG,NOVN,0.8%
BHP Group Ltd,BHP,0.76%
Novo Nordisk A/S Class B,NOVO.B,0.73%
Royal Bank of Canada,RY,0.7%
Toronto-Dominion Bank,TD,0.65%
HSBC Holdings Plc,HSBA,0.63%
Sony Group Corporation,6758,0.56%
AIA Group Limited,1299,0.56%
TotalEnergies SE,TTE,0.55%
SAP SE,SAP,0.55%
Commonwealth Bank of Australia,CBA,0.51%
Sanofi,SAN,0.5%
Diageo plc,DGE,0.5%
Siemens AG,SIE,0.47%
GlaxoSmithKline plc,GSK,0.46%
British American Tobacco p.l.c.,BATS,0.44%
BP p.l.c.,BP,0.42%
Allianz SE,ALV,0.41%
CSL Limited,CSL,0.4%
Bank of Nova Scotia,BNS,0.39%
Enbridge Inc.,ENB,0.38%
Keyence Corporation,6861,0.38%
Rio Tinto plc,RIO,0.38%
Schneider Electric SE,SU,0.36%
Glencore plc,GLEN,0.34%
"Mitsubishi UFJ Financial Group, Inc.",8306,0.34%
"Shopify, Inc. Class A",SHOP,0.34%
Bank of Montreal,BMO,0.33%
Tokyo Electron Ltd.,8035,0.32%
Canadian National Railway Company,CNR,0.32%
Brookfield Asset Management Inc. Class A,BAM.A,0.32%
National Australia Bank Limited,NAB,0.31%
Airbus SE,AIR,0.31%
Iberdrola SA,IBE,0.3%
Zurich Insurance Group Ltd,ZURN,0.3%
Compagnie Financiere Richemont SA,CFR,0.3%
Mercedes-Benz Group AG,MBG,0.29%
Unilever PLC,UNA,0.29%
Canadian Pacific Railway Limited,CP,0.29%
Canadian Natural Resources Limited,CNQ,0.29%
Unilever PLC,ULVR,0.28%
BNP Paribas S.A. Class A,BNP,0.28%
Adyen NV,ADYEN,0.27%
Deutsche Telekom AG,DTE,0.27%
Hong Kong Exchanges & Clearing Ltd.,388,0.27%
Anglo American plc,AAL,0.27%
SoftBank Group Corp.,9984,0.27%
BASF SE,BAS,0.27%
Shin-Etsu Chemical Co Ltd,4063,0.27%
UBS Group AG,UBSG,0.26%
Westpac Banking Corporation,WBC,0.26%
L\'Oreal SA TEMP,Other,0.26%
Enel SpA,ENEL,0.25%
ABB Ltd.,ABBN,0.25%
Bayer AG,BAYN,0.25%
"Banco Santander, S.A.",SAN,0.25%
RELX PLC,REL,0.25%
"Recruit Holdings Co., Ltd.",6098,0.25%
Canadian Imperial Bank of Commerce,CM,0.24%
Prosus N.V. Class N,PRX,0.24%
National Grid plc,NG,0.24%
KDDI Corporation,9433,0.24%
Reckitt Benckiser Group plc,RKT,0.24%
SK hynix Inc,000660,0.24%
Australia and New Zealand Banking Group Limited,ANZ,0.24%
Lonza Group AG,LONN,0.23%
AXA SA,CS,0.23%
Anheuser-Busch InBev SA/NV,ABI,0.23%
"Honda Motor Co., Ltd.",7267,0.23%
EssilorLuxottica SA,EL,0.23%
