VTV: Vanguard Value ETF
Inception Date: 2004-01-26
Fund Holdings as of: 2022-02-28
Total Assets Under Management (in thousands):	103418000
Shares Outstanding: 695949000
Expense Ratio: 0.04%
Tracks This Index: CRSP U.S. Large Cap Value Index
ETF Database Category: Large Cap Blend Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VTV


Holding,Symbol,Weighting
Berkshire Hathaway Inc. Class B,BRK.B,3.15%
UnitedHealth Group Incorporated,UNH,2.51%
Johnson & Johnson,JNJ,2.43%
JPMorgan Chase & Co.,JPM,2.35%
Procter & Gamble Company,PG,2.11%
Exxon Mobil Corporation,XOM,1.86%
Bank of America Corp,BAC,1.72%
Chevron Corporation,CVX,1.55%
Pfizer Inc.,PFE,1.48%
"AbbVie, Inc.",ABBV,1.46%
Coca-Cola Company,KO,1.35%
Broadcom Inc.,AVGO,1.29%
"PepsiCo, Inc.",PEP,1.27%
Eli Lilly and Company,LLY,1.2%
"Cisco Systems, Inc.",CSCO,1.19%
Comcast Corporation Class A,CMCSA,1.19%
Abbott Laboratories,ABT,1.19%
Wells Fargo & Company,WFC,1.19%
Verizon Communications Inc.,VZ,1.14%
Intel Corporation,INTC,1.09%
"Merck & Co., Inc.",MRK,1.08%
Walmart Inc.,WMT,1.06%
AT&T Inc.,T,0.95%
Philip Morris International Inc.,PM,0.88%
Raytheon Technologies Corporation,RTX,0.86%
Bristol-Myers Squibb Company,BMY,0.85%
"NextEra Energy, Inc.",NEE,0.84%
Medtronic Plc,MDT,0.79%
CVS Health Corporation,CVS,0.77%
Morgan Stanley,MS,0.73%
Charles Schwab Corp,SCHW,0.73%
Honeywell International Inc.,HON,0.73%
Amgen Inc.,AMGN,0.71%
Oracle Corporation,ORCL,0.7%
ConocoPhillips,COP,0.7%
Citigroup Inc.,C,0.66%
"Goldman Sachs Group, Inc.",GS,0.64%
American Express Company,AXP,0.63%
"Anthem, Inc.",ANTM,0.61%
"Prologis, Inc.",PLD,0.6%
General Electric Company,GE,0.59%
International Business Machines Corporation,IBM,0.59%
Lockheed Martin Corporation,LMT,0.57%
Caterpillar Inc.,CAT,0.57%
"BlackRock, Inc.",BLK,0.57%
Deere & Company,DE,0.56%
Qualcomm Inc,QCOM,0.54%
Target Corporation,TGT,0.54%
Altria Group Inc,MO,0.53%
"Mondelez International, Inc. Class A",MDLZ,0.51%
Danaher Corporation,DHR,0.49%
Blackstone Inc.,BX,0.49%
"Analog Devices, Inc.",ADI,0.48%
3M Company,MMM,0.48%
CME Group Inc. Class A,CME,0.48%
Truist Financial Corporation,TFC,0.47%
"PNC Financial Services Group, Inc.",PNC,0.47%
Cigna Corporation,CI,0.44%
Union Pacific Corporation,UNP,0.44%
"Marsh & McLennan Companies, Inc.",MMC,0.44%
Duke Energy Corporation,DUK,0.43%
"United Parcel Service, Inc. Class B",UPS,0.43%
"Becton, Dickinson and Company",BDX,0.43%
Chubb Limited,CB,0.42%
"Gilead Sciences, Inc.",GILD,0.42%
CSX Corporation,CSX,0.42%
U.S. Bancorp,USB,0.42%
"Intercontinental Exchange, Inc.",ICE,0.4%
"Freeport-McMoRan, Inc.",FCX,0.39%
"T-Mobile US, Inc.",TMUS,0.39%
Ford Motor Company,F,0.39%
"EOG Resources, Inc.",EOG,0.38%
Southern Company,SO,0.38%
Capital One Financial Corporation,COF,0.37%
Dominion Energy Inc,D,0.36%
Progressive Corporation,PGR,0.35%
Norfolk Southern Corporation,NSC,0.35%
Northrop Grumman Corporation,NOC,0.35%
Illinois Tool Works Inc.,ITW,0.34%
Eaton Corp. Plc,ETN,0.34%
General Motors Company,GM,0.34%
"Waste Management, Inc.",WM,0.34%
HCA Healthcare Inc,HCA,0.33%
"Fidelity National Information Services, Inc.",FIS,0.32%
Schlumberger NV,SLB,0.31%
Emerson Electric Co.,EMR,0.31%
General Dynamics Corporation,GD,0.31%
Humana Inc.,HUM,0.31%
Newmont Corporation,NEM,0.3%
FedEx Corporation,FDX,0.3%
"Air Products and Chemicals, Inc.",APD,0.29%
L3Harris Technologies Inc,LHX,0.28%
"American International Group, Inc.",AIG,0.28%
Marathon Petroleum Corporation,MPC,0.27%
Centene Corporation,CNC,0.27%
"American Electric Power Company, Inc.",AEP,0.26%
TE Connectivity Ltd.,TEL,0.26%
Johnson Controls International plc,JCI,0.26%
Kimberly-Clark Corporation,KMB,0.25%
"Simon Property Group, Inc.",SPG,0.25%
Archer-Daniels-Midland Company,ADM,0.25%
Cognizant Technology Solutions Corporation Class A,CTSH,0.25%
Sysco Corporation,SYY,0.25%
Sempra Energy,SRE,0.25%
"Dow, Inc.",DOW,0.24%
"Travelers Companies, Inc.",TRV,0.24%
"MetLife, Inc.",MET,0.24%
"Prudential Financial, Inc.",PRU,0.24%
Baxter International Inc.,BAX,0.24%
Devon Energy Corporation,DVN,0.23%
Exelon Corporation,EXC,0.23%
McKesson Corporation,MCK,0.23%
"General Mills, Inc.",GIS,0.23%
Bank of New York Mellon Corporation,BK,0.22%
HP Inc.,HPQ,0.22%
Occidental Petroleum Corporation,OXY,0.22%
Carrier Global Corp.,CARR,0.22%
"DuPont de Nemours, Inc.",DD,0.22%
Nucor Corporation,NUE,0.21%
Corteva Inc,CTVA,0.21%
"Williams Companies, Inc.",WMB,0.21%
Phillips 66,PSX,0.21%
Parker-Hannifin Corporation,PH,0.21%
"Welltower, Inc.",WELL,0.2%
Allstate Corporation,ALL,0.2%
Trane Technologies plc,TT,0.2%
Xcel Energy Inc.,XEL,0.2%
Discover Financial Services,DFS,0.2%
TransDigm Group Incorporated,TDG,0.2%
Aflac Incorporated,AFL,0.2%
Kinder Morgan Inc Class P,KMI,0.2%
Valero Energy Corporation,VLO,0.19%
"AvalonBay Communities, Inc.",AVB,0.19%
International Flavors & Fragrances Inc.,IFF,0.19%
Otis Worldwide Corporation,OTIS,0.19%
"Constellation Brands, Inc. Class A",STZ,0.19%
Walgreens Boots Alliance Inc,WBA,0.19%
"Ameriprise Financial, Inc.",AMP,0.19%
KKR & Co. Inc.,KKR,0.19%
Arthur J. Gallagher & Co.,AJG,0.18%
Colgate-Palmolive Company,CL,0.18%
"PPG Industries, Inc.",PPG,0.18%
"Activision Blizzard, Inc.",ATVI,0.18%
Public Service Enterprise Group Inc,PEG,0.18%
Fifth Third Bancorp,FITB,0.18%
"Dollar Tree, Inc.",DLTR,0.18%
T. Rowe Price Group,TROW,0.18%
eBay Inc.,EBAY,0.18%
Keurig Dr Pepper Inc.,KDP,0.17%
Biogen Inc.,BIIB,0.17%
State Street Corporation,STT,0.17%
Corning Inc,GLW,0.17%
Equity Residential,EQR,0.17%
"CBRE Group, Inc. Class A",CBRE,0.17%
"AMETEK, Inc.",AME,0.17%
"Consolidated Edison, Inc.",ED,0.17%
"D.R. Horton, Inc.",DHI,0.16%
Cummins Inc.,CMI,0.16%
Weyerhaeuser Company,WY,0.16%
Halliburton Company,HAL,0.16%
PACCAR Inc,PCAR,0.16%
Eversource Energy,ES,0.16%
"ONEOK, Inc.",OKE,0.16%
"Alexandria Real Estate Equities, Inc.",ARE,0.16%
Hess Corporation,HES,0.16%
WEC Energy Group Inc,WEC,0.16%
"Tyson Foods, Inc. Class A",TSN,0.15%
Laboratory Corporation of America Holdings,LH,0.15%
"American Water Works Company, Inc.",AWK,0.15%
ON Semiconductor Corporation,ON,0.15%
"Zimmer Biomet Holdings, Inc.",ZBH,0.15%
"Stanley Black & Decker, Inc.",SWK,0.15%
Cerner Corporation,CERN,0.15%
Willis Towers Watson Public Limited Company,WTW,0.15%
Kraft Heinz Company,KHC,0.15%
Southwest Airlines Co.,LUV,0.14%
"VMware, Inc. Class A",VMW,0.14%
"Delta Air Lines, Inc.",DAL,0.14%
Lennar Corporation Class A,LEN,0.14%
LyondellBasell Industries NV,LYB,0.14%
Baker Hughes Company Class A,BKR,0.14%
"Republic Services, Inc.",RSG,0.14%
Kroger Co.,KR,0.14%
Extra Space Storage Inc.,EXR,0.14%
FirstEnergy Corp.,FE,0.13%
PG&E Corporation,PCG,0.13%
Regions Financial Corporation,RF,0.13%
Huntington Bancshares Incorporated,HBAN,0.13%
"Mid-America Apartment Communities, Inc.",MAA,0.13%
KeyCorp,KEY,0.13%
"McCormick & Company, Incorporated",MKC,0.13%
Edison International,EIX,0.13%
"Hartford Financial Services Group, Inc.",HIG,0.13%
CDW Corp.,CDW,0.13%
Dover Corporation,DOV,0.13%
Synchrony Financial,SYF,0.13%
"United Rentals, Inc.",URI,0.13%
"Citizens Financial Group, Inc.",CFG,0.13%
Northern Trust Corporation,NTRS,0.13%
M&T Bank Corporation,MTB,0.13%
AmerisourceBergen Corporation,ABC,0.12%
Ingersoll Rand Inc.,IR,0.12%
"W.W. Grainger, Inc.",GWW,0.12%
Hewlett Packard Enterprise Co.,HPE,0.12%
Ameren Corporation,AEE,0.12%
Seagate Technology Holdings PLC,STX,0.12%
Fortive Corp.,FTV,0.12%
Entergy Corporation,ETR,0.12%
"Ventas, Inc.",VTR,0.12%
DTE Energy Company,DTE,0.12%
"Best Buy Co., Inc.",BBY,0.12%
"Essex Property Trust, Inc.",ESS,0.12%
Duke Realty Corporation,DRE,0.11%
"Raymond James Financial, Inc.",RJF,0.11%
"Darden Restaurants, Inc.",DRI,0.11%
V.F. Corporation,VFC,0.11%
Cincinnati Financial Corporation,CINF,0.11%
PPL Corporation,PPL,0.11%
"Nasdaq, Inc.",NDAQ,0.11%
Realty Income Corporation,O,0.1%
"Hologic, Inc.",HOLX,0.1%
Clorox Company,CLX,0.1%
CMS Energy Corporation,CMS,0.1%
Omnicom Group Inc,OMC,0.1%
"Principal Financial Group, Inc.",PFG,0.1%
Garmin Ltd.,GRMN,0.1%
"CenterPoint Energy, Inc.",CNP,0.1%
"NetApp, Inc.",NTAP,0.1%
Paramount Global Class B,PARA,0.1%
Arch Capital Group Ltd.,ACGL,0.1%
MGM Resorts International,MGM,0.1%
"Motorola Solutions, Inc.",MSI,0.1%
"Boston Properties, Inc.",BXP,0.1%
"CarMax, Inc.",KMX,0.1%
Genuine Parts Company,GPC,0.1%
Ally Financial Inc,ALLY,0.1%
"Conagra Brands, Inc.",CAG,0.09%
"Crown Holdings, Inc.",CCK,0.09%
"Cardinal Health, Inc.",CAH,0.09%
Textron Inc.,TXT,0.09%
Eastman Chemical Company,EMN,0.09%
International Paper Company,IP,0.09%
Carnival Corporation,CCL,0.09%
Jacobs Engineering Group Inc.,J,0.09%
Kellogg Company,K,0.09%
NortonLifeLock Inc.,NLOK,0.09%
Quest Diagnostics Incorporated,DGX,0.09%
Camden Property Trust,CPT,0.09%
Xylem Inc.,XYL,0.09%
"Healthpeak Properties, Inc.",PEAK,0.09%
Western Digital Corporation,WDC,0.09%
Westinghouse Air Brake Technologies Corporation,WAB,0.09%
U.S. Dollar,Other,0.08%
"Evergy, Inc.",EVRG,0.08%
FMC Corporation,FMC,0.08%
J.M. Smucker Company,SJM,0.08%
Packaging Corporation of America,PKG,0.08%
Masco Corporation,MAS,0.08%
Avery Dennison Corporation,AVY,0.08%
Alliant Energy Corp,LNT,0.08%
"Iron Mountain, Inc.",IRM,0.08%
AES Corporation,AES,0.08%
"Qorvo, Inc.",QRVO,0.08%
Dell Technologies Inc Class C,DELL,0.08%
"United Airlines Holdings, Inc.",UAL,0.08%
Celanese Corporation,CE,0.08%
W. P. Carey Inc.,WPC,0.08%
Ball Corporation,BLL,0.08%
"Fortune Brands Home & Security, Inc.",FBHS,0.07%
Hormel Foods Corporation,HRL,0.07%
