XLF: Financial Select Sector SPDR Fund
Inception Date: 1998-12-16
Fund Holdings as of: 2022-04-13
Total Assets Under Management (in thousands):	41472200
Shares Outstanding: 1112300000
Expense Ratio: 0.1%
Tracks This Index: Financial Select Sector Index
ETF Database Category: Financials Equities
Issuer: State Street
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XLF


Holding,Symbol,Weighting
Berkshire Hathaway Inc. Class B,BRK.B,15.31%
JPMorgan Chase & Co.,JPM,9.08%
Bank of America Corp,BAC,6.66%
Wells Fargo & Company,WFC,4.55%
"S&P Global, Inc.",SPGI,3.39%
Charles Schwab Corp,SCHW,3.04%
Morgan Stanley,MS,2.88%
American Express Company,AXP,2.67%
"Goldman Sachs Group, Inc.",GS,2.64%
"BlackRock, Inc.",BLK,2.46%
Citigroup Inc.,C,2.4%
Chubb Limited,CB,2.21%
CME Group Inc. Class A,CME,2.08%
"Marsh & McLennan Companies, Inc.",MMC,2.07%
"PNC Financial Services Group, Inc.",PNC,1.81%
"Intercontinental Exchange, Inc.",ICE,1.71%
Aon Plc Class A,AON,1.71%
Truist Financial Corporation,TFC,1.68%
U.S. Bancorp,USB,1.65%
Progressive Corporation,PGR,1.61%
Capital One Financial Corp,COF,1.33%
Moody\'s Corporation,MCO,1.3%
"American International Group, Inc.",AIG,1.26%
"MetLife, Inc.",MET,1.19%
"Travelers Companies, Inc.",TRV,1.07%
"Prudential Financial, Inc.",PRU,1.06%
MSCI Inc. Class A,MSCI,0.97%
Allstate Corporation,ALL,0.96%
Aflac Incorporated,AFL,0.94%
Arthur J. Gallagher & Co.,AJG,0.91%
Bank of New York Mellon Corporation,BK,0.86%
T. Rowe Price Group,TROW,0.79%
Discover Financial Services,DFS,0.78%
"Ameriprise Financial, Inc.",AMP,0.78%
SVB Financial Group,SIVB,0.74%
State Street Corporation,STT,0.73%
First Republic Bank,FRC,0.72%
Willis Towers Watson Public Limited Company,WTW,0.69%
M&T Bank Corporation,MTB,0.69%
Fifth Third Bancorp,FITB,0.65%
"Hartford Financial Services Group, Inc.",HIG,0.61%
Northern Trust Corporation,NTRS,0.57%
"Nasdaq, Inc.",NDAQ,0.51%
"Raymond James Financial, Inc.",RJF,0.5%
Cincinnati Financial Corporation,CINF,0.5%
"Citizens Financial Group, Inc.",CFG,0.49%
Regions Financial Corporation,RF,0.48%
Huntington Bancshares Incorporated,HBAN,0.47%
Synchrony Financial,SYF,0.47%
KeyCorp,KEY,0.46%
"Principal Financial Group, Inc.",PFG,0.43%
Signature Bank,SBNY,0.42%
"Brown & Brown, Inc.",BRO,0.41%
FactSet Research Systems Inc.,FDS,0.39%
W. R. Berkley Corporation,WRB,0.35%
Cboe Global Markets Inc,CBOE,0.31%
Loews Corporation,L,0.31%
"Everest Re Group, Ltd.",RE,0.28%
Comerica Incorporated,CMA,0.28%
Lincoln National Corporation,LNC,0.26%
"Assurant, Inc.",AIZ,0.26%
MarketAxess Holdings Inc.,MKTX,0.25%
"Zions Bancorporation, N.A.",ZION,0.23%
Globe Life Inc.,GL,0.23%
Invesco Ltd.,IVZ,0.18%
"Franklin Resources, Inc.",BEN,0.18%
State Street Institutional Liquid Reserves Fund,SSIXX,0.15%
U.S. Dollar,Other,0.0%
