Parent,Subsidiary,ticker
3M CO,3M BROWNWOOD,MMM
3M CO,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,MMM
3M CO,3M CO - GUIN,MMM
3M CO,3M COMPANY,MMM
3M CO,3M NEVADA PLANT,MMM
3M CO,3M Cottage Grove Center - Site,MMM
3M CO,3M MAGNETIC TAPE MANUFACTURING DIVISION,MMM
3M CO,3M CO,MMM
3M CO,3M CORDOVA,MMM
3M CO,3M CO - WAUSAU DOWNTOWN,MMM
3M CO,3M Pittsboro,MMM
ABB LTD,ABB Inc.,ABB
ABBOTT LABORATORIES,Abbott Laboratories,ABT
ABBOTT LABORATORIES,ABBOTT PARK FACILITY,ABT
ABBOTT LABORATORIES,Abbott Nutrition - A Division of Abbott Laboratories,ABT
ABBVIE INC,North Chicago Facility,ABBV
ABBVIE INC,ABBVIE LTD.,ABBV
ADVANSIX INC,AdvanSix Resins & Chemicals LLC,ASIX
ADVANSIX INC,ADVANSIX INC - CHESTERFIELD PLANT,ASIX
ADVANSIX INC,ADVANSIX INCORPORATED - HOPEWELL,ASIX
AEMETIS INC,"Aemetis Advanced Fuels Keyes, Inc.",AMTX
AES CORP,Georgetown Substation,AES
AES CORP,AES Warrior Run,AES
AES CORP,AES Alamitos,AES
AES CORP,AES Huntington Beach,AES
AES CORP,AES Redondo Beach,AES
AES CORP,Harding Street Station (EW Stout),AES
AES CORP,IPL Eagle Valley Generating Station,AES
AES CORP,Petersburg,AES
AES CORP,AES - PUERTO RICO COGENERATION PLANT,AES
AES CORP,AES HAWAII INC,AES
AES CORP,Salt River Project - T & D Equipment,AES
AES CORP,Indianapolis Power & Light Company,AES
AIR PRODUCTS & CHEMICALS INC,AIR PRODUCTS & CHEMICALS INC MARTINEZ WATERFRONT ROAD,APD
AIR PRODUCTS & CHEMICALS INC,"AIR PRODUCTS & CHEMICALS, INC, Tesoro Martinez",APD
AIR PRODUCTS & CHEMICALS INC,AIR PRODUCTS AND CHEMICALS INCORPORATED,APD
AIR PRODUCTS & CHEMICALS INC,AIR PRODUCTS CARSON HYDROGEN PLANT,APD
AIR PRODUCTS & CHEMICALS INC,AIR PRODUCTS BAYTOWN PLANT,APD
AIR PRODUCTS & CHEMICALS INC,AIR PRODUCTS WILMINGTON HYDROGEN PLANT,APD
AIR PRODUCTS & CHEMICALS INC,AIR PRODUCTS & CHEMICALS INC - Geismar SMR,APD
AIR PRODUCTS & CHEMICALS INC,AIR PRODUCTS AND CHEMICALS INC - GARYVILLE,APD
AIR PRODUCTS & CHEMICALS INC,AIR PRODUCTS & CHEMICALS INC - CONVENT SMR,APD
AIR PRODUCTS & CHEMICALS INC,AIR PRODUCTS & CHEMICALS INC - INDUSTRIAL GAS PRODUCTION FACILITY,APD
AIR PRODUCTS & CHEMICALS INC,AIR PRODUCTS & CHEMICAL INC - LAKE CHARLES FACILITY,APD
AIR PRODUCTS & CHEMICALS INC,Air Products La Porte Facility,APD
AIR PRODUCTS & CHEMICALS INC,Air Products LLC - Corpus Christi,APD
AIR PRODUCTS & CHEMICALS INC,"Air Products and Chemicals, Inc. - BR SMR",APD
AIR PRODUCTS & CHEMICALS INC,AIR PRODUCTS AND CHEMICALS INC - CATLETTSBURG HYDROGEN PLANT,APD
AIR PRODUCTS & CHEMICALS INC,"Air Products and Chemicals, Inc. - Joliet, IL H2 Plant",APD
AIR PRODUCTS & CHEMICALS INC,Air Products Port Arthur Facility,APD
AIR PRODUCTS & CHEMICALS INC,Air Products LLC - Pasadena SMR,APD
AIR PRODUCTS & CHEMICALS INC,Air Products and Chemicals Inc. Luling SMR Facility,APD
AIR PRODUCTS & CHEMICALS INC,Air Products and Chemicals Inc./Detroit Hydrogen Facility Marathon Refinery,APD
AIR PRODUCTS & CHEMICALS INC,Air Products and Chemicals - Norco SMR,APD
AIR PRODUCTS & CHEMICALS INC,Air Products Baytown 3 Facility,APD
AIR PRODUCTS & CHEMICALS INC,Air Products - Geismar 3 HYCO,APD
ALBEMARLE CORP,ALBEMARLE CORPORATION HOUSTON PLANT,ALB
ALBEMARLE CORP,Albemarle Corporation Bayport Plant,ALB
ALBEMARLE CORP,ALBEMARLE CORPORATION-SOUTH PLANT,ALB
ALCOA CORP,ALCOA INC - WARRICK OPERATIONS,AA
ALCOA CORP,ALCOA WORLD ALUMINA ATLANTIC,AA
ALCOA CORP,ALCOA WORLD ALUMINA ATLANTIC,AA
ALCOA CORP,ALCOA INTALCO WORKS,AA
ALCOA CORP,LAKE CHARLES CARBON CO,AA
ALCOA CORP,Reynolds Metals Company Gum Springs Plant,AA
ALCOA CORP,Alcoa USA Corp.,AA
ALEXANDER & BALDWIN INC,Palailai Landfill,ALEX
ALEXANDER & BALDWIN INC,Asphalt Hawaii Kalaeloa Asphalt Terminal,ALEX
ALEXANDER & BALDWIN INC,Hawaiian Commercial and Sugar Company,ALEX
ALLEGHENY TECHNOLOGIES INC,"JESSOP STEEL, LLC WASHINGTON FACILITY",ATI
ALLEGHENY TECHNOLOGIES INC,BRACKENRIDGE PLANT,ATI
ALLEGHENY TECHNOLOGIES INC,VANDERGRIFT FACILITY,ATI
ALLEGHENY TECHNOLOGIES INC,ATI LADISH LLC,ATI
ALLEGHENY TECHNOLOGIES INC,ATI Allvac - Monroe,ATI
ALLEGHENY TECHNOLOGIES INC,Jewel Acquisition - Louisville Facility,ATI
ALLIANT ENERGY CORP,Riverside Energy Center,LNT
ALLIANT ENERGY CORP,Emery Station,LNT
ALLIANT ENERGY CORP,Sheboygan Falls Energy Facility,LNT
ALLIANT ENERGY CORP,Edgewater (4050),LNT
ALLIANT ENERGY CORP,Ottumwa,LNT
ALLIANT ENERGY CORP,Louisa,LNT
ALLIANT ENERGY CORP,South Fond Du Lac,LNT
ALLIANT ENERGY CORP,George Neal South,LNT
ALLIANT ENERGY CORP,Columbia,LNT
ALLIANT ENERGY CORP,Neenah Energy Facility,LNT
ALLIANT ENERGY CORP,Prairie Creek,LNT
ALLIANT ENERGY CORP,Sutherland,LNT
ALLIANT ENERGY CORP,Burlington (IA),LNT
ALLIANT ENERGY CORP,George Neal North,LNT
ALLIANT ENERGY CORP,Wisconsin Power & Light Gas Distribution,LNT
ALLIANT ENERGY CORP,Interstate Power & Light Gas Distribution,LNT
ALLIANT ENERGY CORP,Rock River,LNT
ALLIANT ENERGY CORP,Lansing,LNT
ALLISON TRANSMISSION HOLDINGS INC,"ALLISON TRANSMISSION, Inc.",ALSN
ALPHA & OMEGA SEMICONDUCTOR,"Jireh Semiconductor, Inc.",AOSL
ALPHA METALLURGICAL RESOURCES,Road Fork 52,AMR
ALPHA METALLURGICAL RESOURCES,Black Eagle Deep Mine,AMR
ALPHABET INC,Ivanpah Solar Electric Generating Facility,GOOG
ALTO INGREDIENTS INC,"Alto Pekin, LLC",ALTO
ALTO INGREDIENTS INC,"Alto ICP, LLC",ALTO
ALTRIA GROUP INC,Philip Morris USA,MO
ALTRIA GROUP INC,PHILIP MORRIS USA PARK 500 SITE,MO
AMEREN CORP,Peno Creek Energy Center,AEE
AMEREN CORP,Raccoon Creek Power Plant,AEE
AMEREN CORP,Labadie,AEE
AMEREN CORP,Goose Creek Power Plant,AEE
AMEREN CORP,Meramec,AEE
AMEREN CORP,Rush Island,AEE
AMEREN CORP,Pinckneyville Power Plant,AEE
AMEREN CORP,Audrain Power Plant,AEE
AMEREN CORP,Venice,AEE
AMEREN CORP,Ameren Missouri,AEE
AMEREN CORP,Sioux,AEE
AMEREN CORP,Kinmundy Power Plant,AEE
AMEREN CORP,Ameren Illinois,AEE
AMEREN CORP,Ameren Illinois Electric,AEE
AMEREN CORP,Ameren Missouri Electric,AEE
AMERICAN AIRLINES GROUP INC,AMERICAN AIRLINES,AAL
AMGEN INC,"AMGEN MANUFACTURING, LIMITED",AMGN
AMPCO-PITTSBURGH CORP,UNION ELEC HARMON CREEK PLT,AP
AMPLIFY ENERGY CORP,BETA OCS PARCELS,AMPY
ANALOG DEVICES INC,"Analog Devices, Inc./ Wilmington Manufacturing",ADI
ANALOG DEVICES INC,ANALOG DEVICES,ADI
ANTERO RESOURCES CORP,Antero Resources - 160A - Appalachian Basin (Eastern Overthurst Area),AR
ANTERO RESOURCES CORP,Antero Resources - 160 - Appalachian Basin (Utica),AR
ANTERO RESOURCES CORP,Antero Midstream LLC- 160A Basin,AR
ANTERO RESOURCES CORP,Antero Midstream LLC- 160 Basin,AR
ANTERO RESOURCES CORP,Antero Clearwater Facility,AR
ARCH RESOURCES INC,"ICG Beckley, LLC",ARCH
ARCH RESOURCES INC,LEER SOUTH MINING COMPLEX,ARCH
ARCH RESOURCES INC,VIPER MINE,ARCH
ARCH RESOURCES INC,Mingo Logan Coal LLC,ARCH
ARCH RESOURCES INC,West Elk Mine,ARCH
ARCH RESOURCES INC,Leer Mine,ARCH
ARCHER DANIELS MIDLAND CO,ADM SOYBEAN PROCESSING - DES MOINES,ADM
ARCHER DANIELS MIDLAND CO,ADM QUINCY,ADM
ARCHER DANIELS MIDLAND CO,Vantage Corn Processors - Peoria,ADM
ARCHER DANIELS MIDLAND CO,ARCHER DANIELS MIDLAND,ADM
ARCHER DANIELS MIDLAND CO,ADM - MANKATO,ADM
ARCHER DANIELS MIDLAND CO,ARCHER DANIEL MIDLAND COMPANY,ADM
ARCHER DANIELS MIDLAND CO,ARCHER DANIELS MIDLAND,ADM
ARCHER DANIELS MIDLAND CO,Archer Daniels Midland,ADM
ARCHER DANIELS MIDLAND CO,Archer Daniels Midland Co.,ADM
ARCHER DANIELS MIDLAND CO,ARCHER DANIELS MIDLAND COMPANY,ADM
ARCHER DANIELS MIDLAND CO,ARCHER DANIELS MIDLAND PROCESSING,ADM
ARCHER DANIELS MIDLAND CO,ADM CORN PROCESSING,ADM
ARCHER DANIELS MIDLAND CO,ADM SOUTHERN CELLULOSE PROD.IN,ADM
ARCHER DANIELS MIDLAND CO,ADM CORN PROCESSING,ADM
ARCHER DANIELS MIDLAND CO,ADM Deerfield,ADM
ARCHER DANIELS MIDLAND CO,ADM Fostoria,ADM
ARCHER DANIELS MIDLAND CO,ADM Valdosta,ADM
ARCHER DANIELS MIDLAND CO,"Archer Daniels Midland Co. - Enderlin, ND",ADM
ARCHROCK INC,WHITSON COMPRESSOR STATION,AROC
ARCONIC CORP,ARCONIC TENNESSEE OPERATIONS,ARNC
ARCONIC CORP,Arconic Lancaster Corp,ARNC
ARCONIC CORP,ARCONIC DAVENPORT LLC,ARNC
ARCOSA INC,Arcosa Lightweight - Brooks Plant,ACA
ARCOSA INC,Streetman Plant,ACA
ARCOSA INC,Arcosa BR LW LLC ERWINVILLLE DIV,ACA
ARCOSA INC,"Arcosa LW BR, LLC Livingston DIV",ACA
ARCOSA INC,"Standard Forged Products, LLC - McKees Rocks",ACA
ARCOSA INC,Arcosa Lightweight - Frazier Park,ACA
ARCOSA INC,Arcosa Lightweight Indiana,ACA
ARES MANAGEMENT CORP,Linden Cogeneration Facility,ARES
ARMSTRONG WORLD INDUSTRIES INC,ARMSTRONG WORLD INDUSTRIES INC.,AWI
ARMSTRONG WORLD INDUSTRIES INC,ARMSTRONG WORLD IND MARIETTA CEILING PLT,AWI
ARMSTRONG WORLD INDUSTRIES INC,Armstrong World Industries Inc,AWI
ASHLAND GLOBAL HOLDINGS INC,ISP TECHNOLOGIES TEXAS CITY PLANT,ASH
ASHLAND GLOBAL HOLDINGS INC,ISP LIMA LLC,ASH
ASHLAND GLOBAL HOLDINGS INC,ISP CHEMICALS LLC,ASH
ATMOS ENERGY CORP,Atmos Energy Corporation - Kansas,ATO
ATMOS ENERGY CORP,Atmos Energy Corporation - Kentucky,ATO
ATMOS ENERGY CORP,Atmos Energy Corporation - Louisiana,ATO
ATMOS ENERGY CORP,Atmos Energy Corporation - Mississippi,ATO
ATMOS ENERGY CORP,Atmos Energy Corporation - Texas,ATO
ATMOS ENERGY CORP,Atmos Energy Corporation- Virginia,ATO
ATMOS ENERGY CORP,Central Compressor Station,ATO
ATMOS ENERGY CORP,Cooper Compressor Station,ATO
ATMOS ENERGY CORP,Atmos Energy Corporation - Colorado,ATO
ATMOS ENERGY CORP,Atmos Energy Corporation - APT Howard,ATO
ATMOS ENERGY CORP,Atmos Energy Corporation - Tennessee,ATO
ATMOS ENERGY CORP,Groesbeck Compressor Station,ATO
ATMOS ENERGY CORP,Maryneal Compressor Station,ATO
ATMOS ENERGY CORP,Atmos Pipeline Texas,ATO
AVANGRID INC,Klamath Energy LLC,AGR
AVANGRID INC,Klamath Cogeneration Project,AGR
AVANGRID INC,Rochester Gas & Electric Corp,AGR
AVANGRID INC,New York State Electric and Gas,AGR
