Summary data collected by the Greenhouse Gas Reporting Program for 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 08/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab),,,,,,,,,,,,,,Total Emissions from Gathering & Boosting by Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,Basin,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Industry Type (subparts),Total reported emissions from Gathering & Boosting,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012156,110070082178,260 - East Texas Basin Gathering/Boosting,260 - East Texas Basin,Houston,TX,77079,737 Eldridge Parkway,HARRIS COUNTY,29.77455,-95.61949,211130,W-GB,"7,459.59","2,418.10","5,040.00",1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013937,110070930993,3Bear - 430 - Permian Basin Gathering and Boosting,430 - Permian Basin,Hobbs,NM,88240,674 Marathon Rd,LEA COUNTY,32.540693,-103.522351,211120,W-GB,"32,906.05","31,138.60","1,752.25",15.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013815,110070225663,430 Cotton Draw Midstream,430 - Permian Basin,Oklahoma City,OK,73102,333 West Sheridan Avenue,OKLAHOMA COUNTY,35.46646,-97.51831,211120,W-GB,"95,881.25","88,308.20","7,527.75",45.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012353,110070225663,430 Permian Basin GB DEC,430 - Permian Basin,Oklahoma City,OK,73102,333 West Sheridan Ave,OKLAHOMA COUNTY,35.46646,-97.51831,211120,W-GB,"121,503.95","109,323.40","12,129.00",51.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013748,,530 Wind River GB DEC,530 - Wind River Basin,Oklahoma City,OK,73102,333 W Sheridan Ave,,35.46716,-97.517745,211120,W-GB,"47,260.38","44,705.80","2,529.25",25.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012154,110070082176,580 - San Juan Basin Gathering/Boosting,580 - San Juan Basin,DURANGO,CO,81301,1199 MAIN AVE SUITE 101,,37.3329035142137,-107.877740395536,211130,W-GB,"295,654.18","172,969.00","122,578.50",106.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012251,110070082212,ALLP Greenriver Basin,535 - Green River Basin,Denver,CO,80202,1801 California Street Suite 1200,DENVER COUNTY,39.74708,-104.98968,486210,W-GB,"140,333.81","114,724.50","25,543.75",65.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012248,110070082211,ALLP Uinta Basin,575 - Uinta Basin,Denver,CO,80202,1801 California St. Suite 1200,DENVER COUNTY,39.74708,-104.98968,486210,W-GB,"118,770.00","90,477.10","28,240.75",52.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013405,110070543188,AMP Angelina - Basin 260 G&B,260 - East Texas Basin,Dallas,TX,75201,"2200 Ross Ave., Ste 4600E",DALLAS COUNTY,32.78857,-96.79732,211130,W-GB,"194,181.90","178,579.70","15,535.75",66.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013737,110070789270,APR - Basin 430 - Gathering & Boosting,430 - Permian Basin,Midland,TX,79701,"400 W. Illinois, Suite 970",MIDLAND COUNTY,31.99954,-102.07847,211130,W-GB,"158,495.59","150,067.10","8,352.50",75.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
