Summary data collected by the Greenhouse Gas Reporting Program for 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 08/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab),,,,,,,,,,,,,,Total Direct Emissions from Local Distribution Companies by Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,State where Emissions Occur,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Industry Type (subparts),Total reported direct emissions from Local Distribution Companies,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,Does the facility employ continuous emissions monitoring? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008026,110010724216,Ameren Illinois,IL,Peoria,IL,61602,300 Liberty Street,PEORIA COUNTY,40.69048,-89.59244,221210,"NN-LDC,W-LDC","74,940.00","1,066.90","73,872.50",0.60,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004034,110011771948,Ameren Missouri,MO,St. Louis,MO,63103,1901 Chouteau Avenue,ST. LOUIS CITY,38.620785,-90.211635,221210,"NN-LDC,W-LDC","14,759.55",17.80,"14,741.75",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007872,110043799654,Atlanta Gas Light Company,GA,Atlanta,GA,30309,Ten Peachtree Place,FULTON COUNTY,33.780708,-84.387782,221210,"NN-LDC,W-LDC","165,161.15","7,997.40","157,163.75",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004794,110070081906,Atmos Energy Corporation - Colorado,CO,Dallas,TX,75240,5430 LBJ Freeway,DALLAS COUNTY,32.925488,-96.816137,221210,"NN-LDC,W-LDC","17,502.60",21.10,"17,481.50",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001388,110043973153,Atmos Energy Corporation - Kansas,KS,Dallas,TX,75240,5430 LBJ Freeway,DALLAS COUNTY,32.92548,-96.81613,221210,"NN-LDC,W-LDC","24,108.00",29.00,"24,079.00",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001389,110043973153,Atmos Energy Corporation - Kentucky,KY,Dallas,TX,75240,5430 LBJ Freeway,DALLAS COUNTY,32.92548,-96.81613,221210,"NN-LDC,W-LDC","25,478.95",30.70,"25,448.25",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001390,110043973153,Atmos Energy Corporation - Louisiana,LA,Dallas,TX,75240,5430 LBJ Freeway,DALLAS COUNTY,32.92548,-96.81613,221210,"NN-LDC,W-LDC","50,207.15",60.40,"50,146.75",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001391,110043973153,Atmos Energy Corporation - Mississippi,MS,Dallas,TX,75240,5430 LBJ Freeway,DALLAS COUNTY,32.92548,-96.81613,221210,"NN-LDC,W-LDC","47,970.55",57.80,"47,912.75",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006887,110043973153,Atmos Energy Corporation - Tennessee,TN,Dallas,TX,75240,5430 LBJ Freeway,DALLAS COUNTY,32.92548,-96.81613,221210,"NN-LDC,W-LDC","17,576.70",21.20,"17,555.50",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001398,110043973153,Atmos Energy Corporation - Texas,TX,Dallas,TX,75240,5430 LBJ Freeway,DALLAS COUNTY,32.92548,-96.81613,221210,"NN-LDC,W-LDC","759,835.05",914.80,"758,920.25",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
