Summary data collected by the Greenhouse Gas Reporting Program for 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 08/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab),,,,,,,,,,,,,,Total Emissions from Onshore Oil & Gas Production by Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,Basin,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Industry Type (subparts),Total reported emissions from Onshore Oil & Gas Production ,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,Does the facility employ continuous emissions monitoring? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000355,110002972506,#540 BONANZA CREEK ENERGY - DENVER BASIN,540 - Denver Basin,Denver,CO,80202,"410 17th Street, Suite 1500",DENVER COUNTY,39.74431,-104.98858,211120,W-ONSH,"293,919.04","207,468.90","86,329.75",120.39,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009238,110014409684,220 Gulf Coast Basin DEC,"220 - Gulf Coast Basin (LA, TX)",Oklahoma City,OK,73102,333 West Sheridan Ave,OKLAHOMA COUNTY,35.466697,-97.51453,211120,W-ONSH,"586,008.60","380,272.80","205,504.25",231.55,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009170,110038073679,260 East Texas Basin - BP America Production Company,260 - East Texas Basin,Houston,TX,77079,501 Westlake Park Blvd.,HARRIS COUNTY,29.78037,-95.6295,211130,W-ONSH,"23,735.10","8,196.30","15,524.50",14.30,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009265,110067652463,360 Anadarko Basin,360 - Anadarko Basin,Oklahoma City,OK,73142,"4700 Gaillardia Parkway, Ste. 200",,35.56719,-97.49827,211120,W-ONSH,"124,278.89","46,886.00","77,361.00",31.89,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008287,110014409684,360 Anadarko Basin DEC,360 - Anadarko Basin,Oklahoma City,OK,73102,333 West Sheridan Ave,OKLAHOMA COUNTY,35.466697,-97.51453,211120,W-ONSH,"319,410.35","219,377.60","99,891.50",141.25,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009281,110002994190,395 Williston Basin QEP Energy Company,395 - Williston Basin,Denver,CO,80265,"1050 17th Street, Suite 500",DENVER COUNTY,39.74846,-104.99402,211120,W-ONSH,"288,651.94","275,488.10","12,983.25",180.59,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009276,,415 Strawn Basin BKV,415 - Strawn Basin,Bridgeport,TX,76426,1209 CR 1304,,35.4711808,-97.516602,211120,W-ONSH,"54,645.81","21,635.70","32,997.00",13.11,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008289,110014409684,420 Fort Worth Syncline BKV,420 - Fort Worth Syncline,Bridgeport,TX,76426,1209 CR 1304,OKLAHOMA COUNTY,35.466697,-97.51453,211120,W-ONSH,"428,738.36","126,410.10","302,255.25",73.01,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008290,110014409684,430 Permian Basin DEC,430 - Permian Basin,Oklahoma City,OK,73102,333 West Sheridan Ave,OKLAHOMA COUNTY,35.466697,-97.51453,211120,W-ONSH,"517,053.88","486,799.80","29,611.00",643.08,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009691,110043477573,430 Permian Basin QEP Energy Company,430 - Permian Basin,Denver,CO,80265,1050 17th Street Unit 800,HARRIS COUNTY,29.75608,-95.36433,211120,W-ONSH,"275,958.75","244,711.70","31,083.75",163.30,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012569,110070082371,515 Powder River Basin,515 - Powder River Basin,Denver,CO,80203,"1775 Sherman, Suite 1700",,39.7312095,-104.9826965,211120,W-ONSH,"18,633.75","16,204.80","2,421.50",7.45,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009278,,515 Powder River Basin DEC,515 - Powder River Basin,Oklahoma City,OK,73102,333 West Sheridan Ave,,35.4711808,-97.516602,211120,W-ONSH,"143,835.39","132,521.50","11,223.00",90.89,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008622,110038073679,535 Green River Basin - BP America Production Company,535 - Green River Basin,Houston,TX,77079,501 Westlake Park Blvd.,HARRIS COUNTY,29.78037,-95.6295,211130,W-ONSH,"378,232.83","34,091.50","344,123.75",17.58,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009076,110038073679,580 San Juan Basin - Simcoe LLC,580 - San Juan Basin,DURANGO,CO,81301,1199 MAIN AVE SUITE 101,HARRIS COUNTY,29.78037,-95.6295,211130,W-ONSH,"1,076,366.59","313,323.80","762,899.75",143.04,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008499,110002701238,745 San Joaquin Basin Chevron USA Inc.,745 - San Joaquin Basin,San Ramon,CA,94583,6001 Bollinger Canyon Rd.,CONTRA COSTA COUNTY,37.795963,-122.022317,211120,W-ONSH,"12,725.08","7,733.00","4,974.50",17.58,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013736,,APR - Basin 430 - Production,430 - Permian Basin,Midland,TX,79701,"400 W. Illinois, Suite 970",,32.000017,-102.078534,211130,W-ONSH,"151,446.58","142,742.80","8,618.25",85.53,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013417,,Abraxas Petroleum 430 Permian Basin,430 - Permian Basin,San Antonio,TX,78258,18803 Meisner Dr.,,31.56434,-102.796,211120,W-ONSH,"97,224.03","86,132.20","11,051.00",40.83,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011185,110058240265,Abraxas Petroleum Corp. 395 Williston,395 - Williston Basin,San Antonio,TX,78258,18803 Meisner Dr.,BEXAR COUNTY,29.61619,-98.48208,211120,W-ONSH,"34,110.70","31,183.10","2,913.00",14.60,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013983,,Advance Energy Partners - Basin 430,430 - Permian Basin,Houston,TX,77077,"11490 Westheimer Road, Suite 950",,29.7380743686263,-95.5807676716953,211120,W-ONSH,"112,278.41","99,522.40","12,518.50",237.51,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008346,,Aera Energy San Joaquin Basin,745 - San Joaquin Basin,Bakersfield,CA,93311,10000 Ming Avenue,,35.1268513,-119.1855785,211120,W-ONSH,"15,777.37","5,943.90","9,821.25",12.22,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012509,110070082335,Aethon Energy Operating-230-Arkla Basin,230 - Arkla Basin,Dallas,TX,75251,12377 Merit Dr. Suite 1200,,32.9208727,-96.7734911,211130,W-ONSH,"160,490.13","141,223.90","18,928.00",338.23,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012511,,Aethon Energy Operating-260-East Texas Basin,260 - East Texas Basin,Dallas,TX,75251,12377 Merit Dr. Suite 1200,,32.91606,-96.773085,211130,W-ONSH,"86,623.15","80,663.50","5,774.00",185.65,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011895,110067410082,Aethon Energy Operating-530-Wind River Basin,530 - Wind River Basin,Lysite,WY,82642,,FREMONT COUNTY,43.182208,-107.541229,211130,W-ONSH,"111,749.81","101,671.30","10,021.00",57.51,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010839,110056382098,Amplify Energy Operating 260 East Texas Basin,260 - East Texas Basin,Houston,TX,77002,"500 Dallas Street, Suite 1600",HARRIS COUNTY,29.7555,-95.3616,211130,W-ONSH,"157,075.13","70,826.00","86,209.50",39.63,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009862,110033681594,"Amplify Energy Operating LLC 220 Gulf Coast Basin (LA, TX)","220 - Gulf Coast Basin (LA, TX)",Houston,TX,77002,500 Dallas Street Suite 1600,HARRIS COUNTY,29.7555,-95.3616,211130,W-ONSH,"28,241.58","19,216.10","9,014.75",10.73,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010701,,"Amplify Operating Oklahoma, LLC.",360 - Anadarko Basin,Alva,OK,73717,19051 Country Road 500,,36.15307,-95.98943,211120,W-ONSH,"9,197.99","4,019.90","5,176.00",2.09,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009845,110043482601,Anadarko Basin,360 - Anadarko Basin,Irving,TX,75039,5221 N O'Connor Blvd. 11th Floor,HARRIS COUNTY,29.73177,-95.43444,211130,W-ONSH,"56,612.00","39,065.70","17,524.25",22.05,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013264,,Anschutz Exploration Corporation - Powder River Basin,515 - Powder River Basin,Denver,CO,80202,555 17th Street Suite 2400,,43.73495,-105.404,211120,W-ONSH,"35,619.55","33,084.70","2,512.50",22.35,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
