Summary data collected by the Greenhouse Gas Reporting Program for 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 08/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),GHG Quantity Associated with Coal-based liquid fuel production,GHG Quantity Associated with Petroleum Products Produced,GHG Quantity Associated with Petroleum Products Imported,GHG Quantity Associated with Petroleum Products Exported,GHG Quantity Associated with Natural Gas Supply,GHG Quantity Associated with Natural Gas Liquids Supply,GHG Quantity Associated with CO2 Supply ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004206,110000367567,3M COMPANY,DECATUR,AL,35609,1400 STATE DOCKS RD.,MORGAN COUNTY,34.641667,-87.038611,325211,"C,L,OO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002574,110035810799,3M COMPANY,ST PAUL,MN,55144,3M CENTER,RAMSEY COUNTY,44.950588,-92.996081,339999,OO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006665,110013886875,3M CORDOVA,CORDOVA,IL,61242,22614 ROUTE 84 NORTH,ROCK ISLAND COUNTY,41.755,-90.284167,325998,"C,L,OO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004836,110000423667,3M Cottage Grove Center - Site,Cottage Grove,MN,55016,10746 Innovation Rd,WASHINGTON COUNTY,44.789444,-92.908333,325998,"C,L,N,OO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013576,110009423203,A-Gas US Inc,Bowling Green,OH,43402,1100 Haskins Rd,WOOD COUNTY,41.39132,-83.67208,325120,OO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004761,110013812918,ACE ETHANOL LLC,STANLEY,WI,54768,815 WEST MAPLE STREET,CHIPPEWA COUNTY,44.9589,-90.9608,325193,"C,PP",,,,,,,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000630,110000620221,ADVANSIX INCORPORATED - HOPEWELL,HOPEWELL,VA,23860,905 EAST RANDOLPH ROAD,HOPEWELL CITY,37.1815,-77.1621,325199,"C,G,PP",,,,,,,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001223,110000551055,AES Warrior Run,CUMBERLAND,MD,21502,11600 MEXICO FARMS RD SE,Allegany,39.5944,-78.7456,221112,"C,D,PP",,,,,,,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002380,110056955576,AGRIUM US BORGER NITROGEN OPERATIONS,BORGER,TX,79007,9201 FM 1551,HUTCHINSON COUNTY,35.6417,-101.4228,325311,"C,G,PP",,,,,,,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002698,110006020304,AIR PRODUCTS & CHEMICALS INC - Geismar SMR,GEISMAR,LA,70734,8013 HWY 3251,ASCENSION PARISH,30.183808,-90.9876,325120,"P,PP",,,,,,,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003129,110033247172,AKER PLANT,STREETMAN,TX,75859,261 FCR 181,FREESTONE COUNTY,31.90806,-96.227219,211130,"C,PP,W-PROC",,,,,,,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007622,110041023807,ALON REFINING KROTZ SPRINGS INC,KROTZ SPRINGS,LA,70750,356 S. LEVEE RD,ST. LANDRY PARISH,30.526504,-91.748383,324110,"C,MM-REF,Y",,8297338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005454,110043813086,ALTAIR PARTNERS LP,MILLBURN,NJ,07041,343 MILLBURN AVE,ESSEX COUNTY,40.7238,-74.30754,424690,OO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007263,110031262112,ALTO COLUMBIA LLC,BOARDMAN,OR,97818,71335 RAIL LOOP DRIVE,MORROW COUNTY,45.855921,-119.656083,325193,"C,PP",,,,,,,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005590,110000332220,AMERICAN REFINING GROUP INC,BRADFORD,PA,16701,77 NORTH KENDALL AVENUE,MCKEAN COUNTY,41.965472,-78.633108,324110,"C,MM-REF,Y",,1120086.7413322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010594,110000332220,AMERICAN REFINING GROUP INC - IMPORT/EXPORT,BRADFORD,PA,16701,77 NORTH KENDALL AVE,MCKEAN COUNTY,41.965472,-78.633108,324110,"MM-IMP,MM-EXP",,,confidential,80622.1663353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002576,110000325096,ANHEUSER BUSCH BALDWINSVILLE BREWERY,BALDWINSVILLE,NY,13027,2885 BELGIUM ROAD,ONONDAGA COUNTY,43.1691,-76.3112,312120,"C,PP",,,,,,,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002915,110040981195,ANHEUSER-BUSCH LLC,MERRIMACK,NH,03054,221 DANIEL WEBSTER HIGHWAY,HILLSBOROUGH COUNTY,42.82407,-71.485564,312120,"C,PP",,,,,,,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001945,110000427128,ARCHER DANIELS MIDLAND,MARSHALL,MN,56258,400 WEST ERIE ROAD,LYON COUNTY,44.474074,-95.783525,311221,"C,II,PP",,,,,,,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006203,110032953294,ARKALON ETHANOL LLC,LIBERAL,KS,67901,8664 RD P,SEWARD COUNTY,37.107705,-100.796294,325193,"C,PP",,,,,,,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005721,110000380061,"ARKEMA, INC.",CALVERT CITY,KY,42029,4444 INDUSTRIAL PARKWAY,MARSHALL COUNTY,37.056699,-88.365727,325120,"C,L,OO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002515,110043804096,ARTESIA GAS PLANT,ARTESIA,NM,88210,,EDDY COUNTY,32.7564,-104.2111,211130,"C,PP,UU,W-PROC",,,,,,,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010749,110043482610,"ATLANTIC TRADING & MARKETING, INC.",HOUSTON,TX,77002,"1201 Louisiana St., Suite 1400",HARRIS COUNTY,29.74993,-95.48193,424720,"MM-EXP,MM-IMP",,,confidential,10119601.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004285,110055509365,AUSTIN UTILITIES,AUSTIN,MN,55912,1908 14th St NE,MOWER COUNTY,43.67032,-92.97966,221210,NN-LDC,,,,,139479.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005770,110056954096,AUX SABLE LIQUID PRODUCTS INC,MORRIS,IL,60450,6155 EAST U.S. ROUTE 6,GRUNDY COUNTY,41.413624,-88.301186,211130,"C,NN-FRAC,W-PROC",,,,,,6720086.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
