,Name,symbol,Emissions (tCO2e),PARENT CO. PERCENT OWNERSHIP
3M CO,3M BROWNWOOD,MMM,29359.64,100.0
3M CO,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,MMM,33733.426,100.0
3M CO,3M CO - GUIN,MMM,27083.0,100.0
3M CO,3M COMPANY,MMM,44016.264024,100.0
3M CO,3M NEVADA PLANT,MMM,31562.832,100.0
3M CO,3M Cottage Grove Center - Site,MMM,49540.272991,100.0
3M CO,3M MAGNETIC TAPE MANUFACTURING DIVISION,MMM,39621.3,100.0
3M CO,3M CO,MMM,82308.238,100.0
3M CO,3M CORDOVA,MMM,657865.8974,100.0
3M CO,3M CO - WAUSAU DOWNTOWN,MMM,46909.124,100.0
3M CO,3M Pittsboro,MMM,25996.852,100.0
ABB LTD,ABB Inc.,ABB,11023.8,100.0
ABBOTT LABORATORIES,Abbott Laboratories,ABT,27938.244,100.0
ABBOTT LABORATORIES,ABBOTT PARK FACILITY,ABT,55009.392,100.0
ABBOTT LABORATORIES,Abbott Nutrition - A Division of Abbott Laboratories,ABT,28943.892,100.0
ABBVIE INC,North Chicago Facility,ABBV,64032.708,100.0
ABBVIE INC,ABBVIE LTD.,ABBV,64383.468,100.0
ADVANSIX INC,AdvanSix Resins & Chemicals LLC,ASIX,164593.68,100.0
ADVANSIX INC,ADVANSIX INC - CHESTERFIELD PLANT,ASIX,57749.83,100.0
ADVANSIX INC,ADVANSIX INCORPORATED - HOPEWELL,ASIX,1181515.788,100.0
AEMETIS INC,"Aemetis Advanced Fuels Keyes, Inc.",AMTX,75134.106,100.0
AES CORP,Georgetown Substation,AES,155623.972,50.0
AES CORP,AES Warrior Run,AES,1117382.992,100.0
AES CORP,AES Alamitos,AES,823899.996,100.0
AES CORP,AES Huntington Beach,AES,516763.936,100.0
AES CORP,AES Redondo Beach,AES,239844.36,100.0
AES CORP,Harding Street Station (EW Stout),AES,975000.97,100.0
AES CORP,IPL Eagle Valley Generating Station,AES,1794345.5,100.0
AES CORP,Petersburg,AES,6581019.162,100.0
AES CORP,AES - PUERTO RICO COGENERATION PLANT,AES,3431800.86,100.0
AES CORP,AES HAWAII INC,AES,1186453.736,100.0
AES CORP,Salt River Project - T & D Equipment,AES,7334.76,0.06
AES CORP,Indianapolis Power & Light Company,AES,1705.44,100.0
AIR PRODUCTS & CHEMICALS INC,AIR PRODUCTS & CHEMICALS INC MARTINEZ WATERFRONT ROAD,APD,526494.9,100.0
