,Name,2017 NAICS Code,Emissions (tCO2e),2017 NAICS Title,FRS ID (FACILITY),REPORTING YEAR,FACILITY NAME,FACILITY ADDRESS,FACILITY CITY,FACILITY STATE,FACILITY ZIP,FACILITY COUNTY,PARENT CO. STREET ADDRESS,PARENT CO. CITY,PARENT CO. STATE,PARENT CO. ZIP,PARENT CO. PERCENT OWNERSHIP,FACILITY NAICS CODE,PARENT EMISSIONS AMT,symbol,exchange,exchangeSuffix,exchangeName,exchangeSegment,exchangeSegmentName,date,type,iexId,region,currency,isEnabled,figi,cik,lei,marketcap,week52high,week52low,week52highSplitAdjustOnly,week52lowSplitAdjustOnly,week52change,sharesOutstanding,float,avg10Volume,avg30Volume,day200MovingAvg,day50MovingAvg,employees,ttmEPS,ttmDividendRate,dividendYield,nextDividendDate,exDividendDate,nextEarningsDate,peRatio,beta,maxChangePercent,year5ChangePercent,year2ChangePercent,year1ChangePercent,ytdChangePercent,month6ChangePercent,month3ChangePercent,month1ChangePercent,day30ChangePercent,day5ChangePercent
ABBOTT LABORATORIES,Abbott Laboratories,311514,27938.244,"Dry, Condensed, and Evaporated Dairy Product Manufacturing ",110000471043.0,2020,Abbott Laboratories,1250 West Maricopa Highway,Casa Grande,AZ,85193,PINAL COUNTY,100 Abbott Park Rd.,Abbott Park,IL,60064,100.0,311514,27938.244,ABT,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_53484E444C542D52,US,USD,True,BBG000B9ZXB4,1800.0,HQD377W2YR662HK5JX27,207544228003,141.53,103.78,142.6,105.36,-0.039108425865447,1763482267,0,4501553,4821686,124.7,118.89,109000,3.95,1.829692870108188,0.015546714845001001,,2022-04-13,,29.35146768536699,0.689917895897859,6.053979213867011,1.998303279816163,0.33361586786449204,-0.035930017480884,-0.157483144651746,0.009241735220041,-0.07803451906445001,0.005780524656962001,-0.011055772958774001,-0.041305564402940004
ABBOTT LABORATORIES,ABBOTT PARK FACILITY,424210,55009.392,Drugs and Druggists' Sundries Merchant Wholesalers ,110018042562.0,2020,ABBOTT PARK FACILITY,100 ABBOTT PARK RD,ABBOTT PARK,IL,60064,LAKE COUNTY,100 Abbott Park Road,Abbott Park,IL,60064,100.0,424210,55009.392,ABT,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_53484E444C542D52,US,USD,True,BBG000B9ZXB4,1800.0,HQD377W2YR662HK5JX27,207544228003,141.53,103.78,142.6,105.36,-0.039108425865447,1763482267,0,4501553,4821686,124.7,118.89,109000,3.95,1.829692870108188,0.015546714845001001,,2022-04-13,,29.35146768536699,0.689917895897859,6.053979213867011,1.998303279816163,0.33361586786449204,-0.035930017480884,-0.157483144651746,0.009241735220041,-0.07803451906445001,0.005780524656962001,-0.011055772958774001,-0.041305564402940004
ABBOTT LABORATORIES,Abbott Nutrition - A Division of Abbott Laboratories,311514,28943.892,"Dry, Condensed, and Evaporated Dairy Product Manufacturing ",110020667358.0,2020,Abbott Nutrition - A Division of Abbott Laboratories,1518 MAIN STREET,ALTAVISTA,VA,24517,CAMPBELL COUNTY,One Abbott Park Road,Abbott Park,IL,60064,100.0,311514,28943.892000000003,ABT,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_53484E444C542D52,US,USD,True,BBG000B9ZXB4,1800.0,HQD377W2YR662HK5JX27,207544228003,141.53,103.78,142.6,105.36,-0.039108425865447,1763482267,0,4501553,4821686,124.7,118.89,109000,3.95,1.829692870108188,0.015546714845001001,,2022-04-13,,29.35146768536699,0.689917895897859,6.053979213867011,1.998303279816163,0.33361586786449204,-0.035930017480884,-0.157483144651746,0.009241735220041,-0.07803451906445001,0.005780524656962001,-0.011055772958774001,-0.041305564402940004
ABBVIE INC,North Chicago Facility,325411,64032.708,Medicinal and Botanical Manufacturing ,110070081844.0,2020,North Chicago Facility,1401 SHERIDAN RD,NORTH CHICAGO,IL,60064,LAKE COUNTY,1 North Waukegan Road,Norrth Chicago,IL,60064,100.0,325411,64032.708,ABBV,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_4334484252542D52,US,USD,True,BBG0025Y4RY4,1551152.0,FR5LCKFTG8054YNNRU85,286685706014,174.43,102.35,175.91,105.56,0.5685232340705161,1766284924,0,10083923,7532482,131.81,157.13,2022,6.45,5.344447160181317,0.032927405336586,,2022-04-13,2022-04-29,24.99875357642484,0.34763536226361,5.824536544550168,2.181145573031505,1.173374521800027,0.5834905669581091,0.221477106052749,0.51274241531774,0.20475041751716402,0.050099536574272005,0.048955342330657,-0.06441748734044
ABBVIE INC,ABBVIE LTD.,325412,64383.468,Pharmaceutical Preparation Manufacturing ,110007806188.0,2020,ABBVIE LTD.,RD 2 KM 58.0,BARCELONETA,PR,617,BARCELONETA MUNICIPIO,1401 Sheridan Road,North Chicago,IL,60064,100.0,325412,64383.468,ABBV,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_4334484252542D52,US,USD,True,BBG0025Y4RY4,1551152.0,FR5LCKFTG8054YNNRU85,286685706014,174.43,102.35,175.91,105.56,0.5685232340705161,1766284924,0,10083923,7532482,131.81,157.13,2022,6.45,5.344447160181317,0.032927405336586,,2022-04-13,2022-04-29,24.99875357642484,0.34763536226361,5.824536544550168,2.181145573031505,1.173374521800027,0.5834905669581091,0.221477106052749,0.51274241531774,0.20475041751716402,0.050099536574272005,0.048955342330657,-0.06441748734044
ADVANSIX INC,AdvanSix Resins & Chemicals LLC,325194,164593.68,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ",110038495768.0,2020,AdvanSix Resins & Chemicals LLC,2501 MARGARET STREET,PHILADELPHIA,PA,19137,Philadelphia,"300 Kimball Drive, Suite 101",Parsippany,NJ,7054,100.0,325194,164593.68,ASIX,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_4C57524237312D52,US,USD,True,BBG00CWTTQ41,1673985.0,5493009TPRODMCAZLF67,1424226284,57.1,26.79,57.1,26.95,0.7487543451068741,28141203,0,210425,276882,45.46,48.86,1400,4.8100000000000005,0.125,0.0024698676150950003,,2022-02-28,2022-05-06,10.18825449299311,1.312341086154775,2.041466346153846,1.01688910497308,4.152456095698651,0.7712711784325591,0.074579330113063,0.149905821781638,0.11054059035732101,0.024079320113314002,-0.014410905550146002,0.032225168264327
ADVANSIX INC,ADVANSIX INC - CHESTERFIELD PLANT,325211,57749.83,Plastics Material and Resin Manufacturing ,110000342460.0,2020,ADVANSIX INC - CHESTERFIELD PLANT,4101 BERMUDA HUNDRED RD,CHESTER,VA,23836,CHESTERFIELD COUNTY,300 KIMBALL DR SUITE 101,PARSIPPANY,NJ,7054,100.0,325211,57749.83,ASIX,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_4C57524237312D52,US,USD,True,BBG00CWTTQ41,1673985.0,5493009TPRODMCAZLF67,1424226284,57.1,26.79,57.1,26.95,0.7487543451068741,28141203,0,210425,276882,45.46,48.86,1400,4.8100000000000005,0.125,0.0024698676150950003,,2022-02-28,2022-05-06,10.18825449299311,1.312341086154775,2.041466346153846,1.01688910497308,4.152456095698651,0.7712711784325591,0.074579330113063,0.149905821781638,0.11054059035732101,0.024079320113314002,-0.014410905550146002,0.032225168264327
ADVANSIX INC,ADVANSIX INCORPORATED - HOPEWELL,325199,1181515.788,All Other Basic Organic Chemical Manufacturing ,110000620221.0,2020,ADVANSIX INCORPORATED - HOPEWELL,905 EAST RANDOLPH ROAD,HOPEWELL,VA,23860,HOPEWELL CITY,300 Kimball Drive Suite 101,Parsippany,NJ,7054,100.0,325199,1181515.788,ASIX,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_4C57524237312D52,US,USD,True,BBG00CWTTQ41,1673985.0,5493009TPRODMCAZLF67,1424226284,57.1,26.79,57.1,26.95,0.7487543451068741,28141203,0,210425,276882,45.46,48.86,1400,4.8100000000000005,0.125,0.0024698676150950003,,2022-02-28,2022-05-06,10.18825449299311,1.312341086154775,2.041466346153846,1.01688910497308,4.152456095698651,0.7712711784325591,0.074579330113063,0.149905821781638,0.11054059035732101,0.024079320113314002,-0.014410905550146002,0.032225168264327
AEMETIS INC,"Aemetis Advanced Fuels Keyes, Inc.",325193,75134.106,Ethyl Alcohol Manufacturing ,110055855800.0,2020,"Aemetis Advanced Fuels Keyes, Inc.",4209 Jessup Road,Ceres,CA,95307,STANISLAUS COUNTY,"20400 Stevens Creek Blvd., Suite 700",Cupertino,CA,95014,100.0,325193,75134.106,AMTX,XNAS,,Nasdaq All Markets,XNMS,Nasdaq Nms Global Market,2022-04-16,cs,IEX_4B4E4A5A53592D52,US,USD,True,BBG000BWBZY9,738214.0,254900DQF4U5U9W7AR72,449248560,23.33,7.88,23.33,7.88,-0.30647709320695005,34111508,0,585515,838874,14.3,12.34,164,0.0,0.0,0.0,,,2022-05-11,0.0,1.73071522714204,0.213824884792626,10.067226890756302,20.953658943157198,-0.35787420770355904,0.07073170731707301,-0.268739589117157,0.268786127167629,0.221706864564007,0.22511627906976703,0.09476309226932601
ALCOA CORP,ALCOA INC - WARRICK OPERATIONS,331313,5963440.226,Alumina Refining and Primary Aluminum Production ,110000602045.0,2020,ALCOA INC - WARRICK OPERATIONS,,NEWBURGH,IN,47629,WARRICK COUNTY,201 Isabella Street,Pittsburgh,PA,15212-2858,100.0,331313,5963440.226,AA,XNYS,,New York Stock Exchange Inc,XNYS,New York Stock Exchange Inc,2022-04-16,cs,IEX_4238333734532D52,US,USD,True,BBG00B3T3HD3,1675149.0,549300T12EZ1F6PWWU29,16184423579,98.09,30.89,98.09,31.0,1.4714823543987992,184395848,0,4976577,5865797,62.81,85.32,12900,2.26,0.199889776929074,0.002277427104125,,2022-03-07,,37.72592908848485,1.156159274896994,4.176888322657512,1.841519793838463,11.129294381028716,1.6814492107184642,0.47477160951233505,0.57247972366495,0.43129008533600305,0.19074752408085702,0.16051831283882,0.043018419489007004
