Name,Ticker,Market Cap ($),Price ($),Shares Outstanding
Apple ,AAPL,2809000000000,172.14,16318113163
Microsoft ,MSFT,2259000000000,301.37,7495769320
Alphabet ,GOOG,1800000000000,2729.3,659509764
Alphabet ,GOOGL,1800000000000,2717.77,662307700
Amazon ,AMZN,1606000000000,3155.69,508921979
Tesla Motors ,TSLA,1093000000000,1057.26,1033804362
Berkshire Hathaway ,BRK.B,765640000000,346.51,2209575481
Facebook ,FB,606860000000,222.95,2721955595
Nvidia ,NVDA,603260000000,242.08,2491986120
United Health ,UNH,505220000000,536.95,940906974
Johnson and Johnson ,JNJ,477960000000,181.76,2629621478
Visa ,V,468080000000,216.15,2165533194
Wal-Mart ,WMT,430760000000,156.54,2751756739
J P Morgan ,JPM,385370000000,131.09,2939736059
Procter and Gamble ,PG,380800000000,158.86,2397079189
Exxon Mobil ,XOM,360070000000,85.05,4233627278
Mastercard ,MA,344390000000,349.55,985238163
Chevron ,CVX,325440000000,167.1,1947576301
Bank of America ,BAC,317680000000,39.39,8064991114
Home Depot ,HD,312850000000,302.75,1033360858
Pfizer ,PFE,311530000000,55.16,5647751994
AbbVie ,ABBV,306060000000,173.28,1766274238
Eli Lilly ,LLY,293730000000,308.43,952339266
Coca-Cola ,KO,275010000000,63.44,4334962168
Costco ,COST,269500000000,608.05,443220129
Broadcom ,AVGO,246210000000,603.05,408274604
Walt Disney ,DIS,240090000000,131.87,1820656707
Thermo Fisher Scientific ,TMO,239490000000,612.21,391189297
PepsiCo ,PEP,238680000000,172.55,1383251231
Cisco ,CSCO,226940000000,54.63,4154127768
Verizon Communications ,VZ,221210000000,52.67,4199924055
Merck ,MRK,219460000000,86.8,2528341013
Oracle ,ORCL,217560000000,81.54,2668138337
Abbott Labs ,ABT,217560000000,123.37,1763475723
Accenture ,ACN,216650000000,341.77,633905843
Danaher ,DHR,214530000000,299.66,715911366
Adobe ,ADBE,213910000000,452.72,472499558
Comcast ,CMCSA,213740000000,47.15,4533191940
NIKE ,NKE,203610000000,129.38,1573736280
Salesforce ,CRM,198160000000,200.16,990007993
Intel ,INTC,194460000000,47.56,4088730025
McDonald's ,MCD,189140000000,254.36,743591759
Wells Fargo ,WFC,181490000000,47.74,3801633850
NextEra Energy ,NEE,171060000000,87.08,1964400551
AT&T ,T,169980000000,23.73,7163084702
Advanced Micro Devices ,AMD,168790000000,103.72,1627362128
